"* Required Fields","* Skal udfyldes"
"Add","Tilføj"
"Add Gift Message","Tilføj gavebesked"
"Allow Gift Messages for Order Items","Tillad gavebeskeder for ordreelementer"
"Allow Gift Messages on Order Level","Tillad gavebeskeder på ordreniveau"
"Are you sure?","Er du sikker?"
"Cancel","Annuller"
"Check this checkbox if you want to add gift messages to your items.","Sæt kryds hvis du ønsker at tilføje gavebeskeder."
"Check this checkbox if you want to add gift messages.","Sæt kryds hvis du ønsker at tilføje gavebeskeder."
"Close","Luk"
"Do you have any gift items in your order?","Har du nogen gaver i din ordre?"
"Edit","Rediger"
"Edit Gift Message","Rediger gavebesked"
"Enter a gift message for each item in your order.","Skriv en gavebesked for hver vare i din ordre."
"Enter a gift message for entire order.","Skriv en gavebesked for denne ordre."
"Enter a gift message for this address.","Skriv en gavebesked for denne adresse."
"Error while saving gift message","Fejl: kunne ikke gemme gavebesked"
"From","Fra"
"Gift Message","Besked på gave"
"Gift Messages","Gavebeskeder"
"Gift message has been successfully saved","Gavebeskeden er gemt"
"Item %d of %d","Post %d af %d"
"Message","Besked"
"No","Nej"
"Remove","Fjern"
"Save","Gem"
"Save Gift Message","Gem besked"
"To","Til"
"Unknown entity type","Ukendt enhedstype"
"Use config","Brug konfiguration"
"Yes","Ja"
"You can leave a box blank if you don't wish to add a gift message for the item.","Du kan springe en boks over, hvis du ikke vil skrive en gavebesked til varen."
"You can leave a box blank if you don't wish to add a gift message for this address.","Du kan springe en boks over, hvis du ikke vil skrive en gavebesked til denne adresse."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Du kan springe en boks over, hvis du ikke vil skrive en gavebesked til hele ordren."
"Your gift message has been successfully removed","Din gavebesked er fjernet"
"Your gift message has been successfully saved","Din gavebesked er gemt"
"Your gift message successfully removed","Din beksed på gave er fjernet."
"Your gift message successfully saved","Din besked på gave er gemt."
