"%s already exist","%s eksisterer allerede"
"%s already exists","%s eksisterer allerede"
"-- Please Select --","-- Vælg venligst --"
"Add Block Names to Hints","Tilføj bloknavne til hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Tilføj forretningskode til Urls"
"Admin","Admin"
"Admin Base URL","Admin rod-URL"
"Admin User Emails","Admin bruger-e-mails"
"Advanced","Avanceret"
"Allow countries","Tillad lande"
"Allowed IPs (comma separated)","Tilladte IP'er (kommasepareret)"
"Are you sure?","Er du sikker?"
"Back","Tilbage"
"Backup options","Backupmuligheder"
"Base JavaScript URL","Base JavaScript-URL"
"Base Link URL","Base link-URL"
"Base Media URL","Base medie-URL"
"Base Skin URL","Base skin-URL"
"Base URL","Rod URL"
"Before modifying the store view code please make sure that it is not used in index.php","Før du ændrer butiksvisningen så vær sikker på at koden ikke bliver brugt i index.php"
"Before modifying the website code please make sure that it is not used in index.php","Vær sikker på at website-koden ikke er brugt i index.php før du redigerer den"
"Block with name ""%s"" already exists","Blok med navnet ""%s"" eksisterer allerede"
"Blocks HTML output","Blok-HTML-output"
"Can't retrieve request object","Kan ikke hente det efterspurgte objekt"
"Can't retrieve entity config: %s","Kan ikke hente enhedskonfiguration: %s"
"Cancel","Annuller"
"Cannot Delete Email Template","Kan ikke slette e-mailskabelon "
"Cannot complete this operation from non-admin area.","Kan ikke udføre denne handling fra et ikke-adminområde."
"Category object is required for determining product request path","Et kategoriobjekt er nødvendigt for at bestemme produktstien"
"Code","Kode"
"Collections Data","Kollektionsdata"
"Configuration","Konfiguration"
"Controller file was loaded but class does not exist","Controller-filen blev indlæst, men klassen findes ikke"
"Cookie Domain","Cookie domæne"
"Cookie Lifetime","Cookie levetid"
"Cookie Path","Cookie sti"
"Copyright","Copyright"
"Countries options","Lande (indstillinger)"
"Create Store","Opret forretning"
"Create Store View","Opret visning af forretning"
"Create Website","Opret website"
"Current package name","Navn på nuværende pakke"
"Custom Design","Eget design"
"Custom admin URL","Tilpasset admin-URL"
"Custom email 1","Egen e-mail 1"
"Custom email 2","Egen e-mail 2"
"Customer support","Kundehjælp"
"Date From","Dato fra"
"Date To","Dato til"
"Date/time format ""%s"" is not supported.","Dato/tidsformatet ""%s"" understøttes ikke."
"Debug","Debug"
"Default","Standard"
"Default Description","Standardbeskrivelse"
"Default Keywords","Standardnøgleord"
"Default Pages","Standardsider"
"Default Robots","Standardrobotter"
"Default Store","Standard-forretning"
"Default Store View","Standardvisning af forretning"
"Default Title","Standardtitel"
"Default country","Standardland"
"Default no-route url","Standard 404/no-route URL"
"Default web url","Standard web-URL"
"Delete","Slet"
"Delete Store","Slet forretning"
"Delete Store View","Slet visning af forretning"
"Delete Website","Slet website"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Sletter du en %1$s bliver data forbundet med din %1$s ikke slettet (kategorier, produkter mv.), men det vil ikke være muligt at genskabe din %1$s. Det anbefales at tage backup af databasen før du sletter denne %1$s."
"Design","Design"
"Design Change","Designændring"
"Developer","Udvikler"
"Developer Client Restrictions","Udvikler klient-restriktioner"
"Disable email communications","Deaktiver e-mailkommunikationsmuligheder"
"Disable modules output","Deaktiver modul-output"
"Duplicate Of Template Code","Fejl: Skabelonkode findes allerede"
"Edit Design Change","Rediger designændring"
"Edit Store","Rediger forretning"
"Edit Store View","Rediger visning af forretning"
"Edit Website","Rediger website"
"Empty identifier field name","Tomt feltnavn for identifikator"
"Empty main table name","Fejl: Navn på hovedtabel må ikke være tomt"
"Enabled","Aktiv"
"Enabled for Admin","Aktiv for backend"
"Enabled for Frontend","Aktiv for frontend"
"Error in file: ""%s"" - %s","Fejl i fil: ""%s"" - %s"
"Error while saving. Please try again later.","Kunne ikke gemme. Prøv venligst igen senere."
"Error: Passwords do not match","Fejl: Passwords stemmer ikke overens"
"Exceptions Log File Name","Filnavn for exceptions log"
"First Day of Week","Første dag i ugen"
"Footer","Footer"
"Forgot Password Email Sender","Glemt password e-mailafsender"
"Forgot Password Email Template","Glemt password e-mailskabelon"
"General","Generelt"
"General Settings","Generelle indstillinger"
"General contact","Generel kontakt"
"Global","Global"
"HTML Head","HTML Head"
"Header","Header"
"Host","Vært (host)"
"Id path for specified store","ID-sti for valgt forretning"
"Incorrect credit card expiration date","Forkert udløbsdato for kort"
"Invalid base url type","Ugyldig rod-URL-type"
"Invalid block name to set child %s: %s","Fejl: Ugyldigt bloknavn %s: %s"
"Invalid block type: %s","Ugyldig bloktype: %s"
"Invalid block: %s","Ugyldig blok: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Fejl: Ugyldigt parameter for layout-opdatering (i Mage_Core_Model_Layout_Element)"
"Invalid layout update handle","Ugyldig layout-opdatering"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid transactional email code: ","Ugyldig kode for e-mail: "
"Invalid websites configuration path: %s","Fejl: Ugyldig sti til websites-konfiguration: %s"
"Layout","Layout"
"Layouts","Layouts"
"Leave empty for access from any location","Udfyldes ikke ved adgang fra alle lokationer"
"Locale","Sprog"
"Locale options","Locale (indstillinger)"
"Log Settings","Logindstillinger"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logger fra Mage::log(). Filen er i {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logger fra Mage::logException(). Filen er i {{base_dir}}/var/log"
"Logo Image Alt","Logo-billede alt"
"Logo Image Src","Logo-billede sti"
"Manage Stores","Administrer forretninger"
"Match expressions in the same order as displayed in the configuration.","Match udtryk i samme ordre som vist i konfigurationen."
"Miscellaneous HTML","Diverse HTML"
"Miscellaneous scripts","Diverse scripts"
"Model class does not exist: %s","Fejl: Model-klassen: %s eksisterer ikke."
"Model collection resource name is not defined","Ressourcenavn på modelkollektion ikke angivet"
"Module ""%1$s"" can not be depended from ""%2$s""","Modulet ""%1$s"" kan ikke være afhængig af ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Navn"
"New Design Change","Ny designændring"
"New Store","Ny forretning"
"New Store View","Ny visning af forretning"
"New Website","Nyt website"
"No","No"
"Package","Pakke"
"Please choose to register or to checkout as a guest","Vælg venligst registrering eller bestilling som gæst"
"Please define flag code.","Definer venligst flagkode."
"Please enter 6 or more characters.","Indtast venligst 6 eller flere karakterer."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Indtast venligst 6 eller flere karakterer. Mellemrum før og efter ignoreres."
"Please enter a number greater than 0 in this field.","Indtast venligst et tal større end 0."
"Please enter a valid $ amount. For example $100.00.","Vælg venligst et gyldigt beløb i kr. For eksempel kr. 100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Indtast venligst en gyldig hjemmesideadresse (URL), eks.http://www.mindemoshop.dk or www.mindemoshop.dk"
"Please enter a valid URL. http:// is required","Indtast venligst en gyldig hjemmesideadresse (URL). NB! adressen skal starte med http://"
"Please enter a valid credit card number.","Indtast venligst et gyldigt kreditkortnummer."
"Please enter a valid date.","Indtast venligst en gyldig dato."
"Please enter a valid email address. For example johndoe@domain.com.","Ugyldig e-mailadresse"
"Please enter a valid number in this field.","Indtast venligst kun heltal i dette felt."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Indtast venligst et gyldigt telefonnummer, eks. (+45) 10 10 10 10"
"Please enter a valid social security number. For example 123-45-6789.","Indtast venligst et gyldigt CPR-nummer, eks. 190570-2369."
"Please enter a valid zip code.","Indtast venligst et gyldigt postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Indtast venligst et gyldigt postnummer, eks. 6430 eller 8000."
"Please enter valid password.","Indtast venligst et gyldigt kodeord."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Sørg for at rod-URL slutter med '/' (skråstreg), f.eks. http://minshop.dk/magento/"
"Please make sure your passwords match.","Verificer venligst at dine kodeord er ens."
"Please select State/Province.","Vælg venligst region"
"Please select an option.","Vælg venligst en af mulighederne."
"Please select one of the above options.","Vælg venligst en af mulighederne ovenfor"
"Please select one of the options.","Vælg venligst en af mulighederne"
"Please specify payment method.","Vælg venligst en betalingsmetode."
"Please specify shipping method.","Vælg venligst en leveringsmetode."
"Please use letters only (a-z or A-Z) in this field.","Brug kun bogstaver (a-z or A-Z) i dette felt."
"Please use letters only (a-z) in this field.","Feltet må kun indeholde bogstaver (a-z)"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Feltet må kun indeholde heltal, ungå venligst mellemrum eller andre karakterer såsom punktum og komma."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Feltet må kun indeholde bogstaver (a-z) eller heltal (0-9). Mellemrum eller andre karakterer er ikke tilladt."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Feltet må kun indeholde bogstaver (a-z), heltal (0-9), mellemrum og nummertegn (#)."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Brug kun bogstaver (a-z) eller heltal (0-9) eller underscore (_) i dette felt., første karakter skal være et bogstav."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Brug venligst dette datoformat: dd/mm/yyyy, eks. 17/03/2006 for d. 17. marts 2006."
"Please wait, loading...","Vent venligst, henter data..."
"Polls","Afstemninger"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Forspørgselssti for valgt forretning"
"Requested invalid store ""%s""","Ugyldig butik ""%s"" ønsket"
"Resource is not set","Fejl: Ressourcen er ikke defineret"
"Root Category","Rodkategori"
"SMTP settings (Windows server only)","SMTP indstillinger (Windowsserver)"
"Sales representative","Salgsrepræsentant"
"Save","Gem"
"Save Store","Gem forretning"
"Save Store View","Gem visning af forretning"
"Save Website","Gem website"
"Search Engines Optimization","Søgemaskineoptimering (SEO)"
"Secure","Sikker"
"Security","Security"
"Select Date","Vælg dato"
"Sender email","E-mail (afsender)"
"Sender name","Navn (afsender)"
"Services","Tjenester"
"Session Cookie management","Administration af session-cookie"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Indstillinger for sessionvalidering"
"Set as default","Sæt som standard"
"Skin (Images / CSS)","Skin (Billeder / CSS)"
"Sort order","Sorteringsrækkefølge"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Det angivne dato/tidsformat ""%1$s"" matcher ikke formatet ""%2$s""."
"Specify either category or product, or both.","Angiv kategori, produkt eller begge dele."
"Start date can't be greater than end date","Startdato kan ikke være senere end slutdato"
"Startup page","Startside"
"Status","Status"
"Store","Forretning"
"Store Email Addresses","E-mail-adresser"
"Store Information","Forretning - detaljer"
"Store Name","Navn på butik"
"Store View","Forretningsvisning"
"Store View Information","Information om forretningsvisning"
"Store View Name","Navn på visning af forretning"
"Store View was successfully saved","Visning af forretning blev gemt"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Butikskode må kun indeholder bogstaver (a-z), numre (0-9) og underscore(_). Det skal starte med et bogstav"
"Store doesn't exist","Forretningen eksisterer ikke"
"Store view doesn't exist","Forretningsvisningen eksisterer ikke"
"Store view was successfully deleted.","Forretningsvisningen er slettet."
"Store was successfully deleted.","Forretningen er slettet."
"Store was successfully saved","Forretning er gemt"
"Store with the same code","Forretning med samme kode"
"System","System"
"System Log File Name","Filnavn for systemlog"
"Template Path Hints","Skabelonsti (hints)"
"Templates","Skabeloner"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Indtastede %s er ugyldig. Sørg for at følge formatet ""http://domain.com/""."
"Themes","Temaer"
"This category and all its child elements","Denne kategori og alle underelementer"
"This category and its child categories only","Denne kategori og kun dens underkategorier"
"This category and its products only","Denne kategori og kun dens produkter"
"This category only","Kun denne kategori"
"This is a required field.","Feltet skal udfyldes."
"This store cannot be deleted","Forretningen kan ikke slettes"
"This store cannot be deleted.","Forretningen kan ikke slettes."
"This store view cannot be deleted","Forretningsvisningen kan ikke slettes"
"This store view cannot be deleted.","Forretningsvisningen kan ikke slettes."
"This website cannot be deleted","Websitet kan ikke slettes"
"This website cannot be deleted.","Websitet kan ikke slettes."
"This will be displayed just before body closing tag","Dette vil blive vist lige før det afsluttende body-tag"
"This will be included before head closing tag in page HTML","Dette vil blive indsat før det afsluttende head-tag"
"Timezone","Tidszone"
"Title Prefix","Titel præfix"
"Title Suffix","Titel suffix"
"Translate Inline","Inline-oversættelse"
"Translate cache should be disabled for both Frontend and Admin inline translations","Oversættelsescache skal være deaktiveret for både inline-oversættelser i frontend og admin"
"Translations","Oversættelser"
"Unable to delete store view. Please, try again later.","Kunne ikke slette forretningsvisning. Prøv igen senere."
"Unable to delete store. Please, try again later.","Kunne ikke slette forretning. Prøv igen senere."
"Unable to delete website. Please, try again later.","Kunne ikke slette website. Prøv igen senere."
"Unable to proceed. Please, try again","Kunne ikke gennemføre. Prøv venligst igen"
"Unknown scope ""%s""","Ukendt område ""%s"""
"Unsecure","Usikker"
"Url Options","Url-indstillinger"
"Use HTTP Only","Brug kun HTTP"
"Use Secure URLs in Admin","Anvend sikre URLs i backend"
"Use Secure URLs in Frontend","Avend sikre URLs i frontend"
"Use Web Server Rewrites","Brug webserver rewrites"
"Use custom admin URL","Brug tilpasset admin-URL"
"Validate HTTP_USER_AGENT","Valider HTTP_USER_AGENT"
"Validate HTTP_VIA","Valider HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valider HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Valider REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Web"
"Website","Website"
"Website Information","Website-info"
"Website Name","Websitenavn"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Websitekode må kun indeholde bogstaver (a-z), heltal (0-9) eller underscore(_), første karakter skal være et bogstav"
"Website doesn't exist","Website eksiterer ikke"
"Website was successfully deleted.","Website er slettet."
"Website was successfully saved","Sitet blev gemt"
"Website with the same code","Website med samme kode"
"Weekend Days","Weekenddage"
"Welcome Text","Velkomsttekst"
"Wrong number of arguments for %s","Fejl: Forkert antal parametre angivet for %s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Din ordre kan ikke fuldføres i øjeblikket, da der ikke er nogen betalingsmetoder tilgængelige til den."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Din session er udløbet, og du vil nu blive logget ind igen."
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
