"Action","العملية"
"All types","جميع الانواع"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","نسخة الملف الاحتياطى غير موجود"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","النسخ الاحتياطية"
"Cannot read backup file","لا يمكن القراءة من النسخة الاحتياطية"
"Create Backup","انشئ نسخة احتياطية"
"DB","قاعدة البيانات"
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","تحميل"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","تم انشاء الملف بواسطة Zlib ولكن هذه الاضافة غير متاحة فى الخادم"
"Size, byte","Size, byte"
"Time","الزمن"
"Type","النوع"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Wrong order of creation for new backup","خطأ فى ترتيب انشاء نسخة احتياطية جديدة"
