"Add Recipient","اضف صديقا"
"Allow for Guests","السماح للزوار"
"Email Address","البريد الالكترونى"
"Email Address:","البريد الالكترونى:"
"Email templates","قوالب البريد"
"Email to a Friend","ارسال الى صديق"
"Email:","البريد الالكترونى:"
"Enabled","متاح"
"Limit Sending By","حدد الارسال بـ"
"Link to a friend was sent.","تم ارسال الرابط الى صديقك"
"Max Products Sent in 1 Hour","اقصى عدد للمنتجات يمكن ارسالة بالساعة"
"Max Recipients","اقصى عدد للمستقبلين"
"Maximum %d email addresses allowed.","Maximum %d email addresses allowed."
"Message:","نص الرسالة:"
"Name","الاسم"
"Name:","الاسم:"
"Recipient:","المستقبل:"
"Remove Email","احذف الايميل"
"Select email template","اختر قالبا للرسالة"
"Send email","ارسل الرسالة"
"Send product to a friend","ارسل منتجا لصديق"
"Sender:","المرسل:"
"Some emails was not sent","لم يتم ارسال بعض الرسائل"
"Some problems with data.","بعض المشاكل بالبيانات."
"You cannot email this product to a friend","لا يمكنك ارسال هذا المنتج لصديق"
"You cannot send more than %d times in an hour","لا يمكنك ارسال اكثر من %d مره فى الساعة"
