"%d Review(s)","%d Review(s)"
"%s Review(s)","%s Review(s)"
"(Posted on %s)","(Posted on %s)"
"1 star","1 نجمة"
"2 stars","2 نجوم"
"3 stars","3 نجوم"
"4 stars","4 نجوم"
"5 stars","5 نجوم"
"Add New Review","إضافة تقييم جديد"
"Add Your Review","إضافة تقييمك"
"Administrator","المدير"
"All Reviews","كل التقييمات"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","هل أنت متأكد من فعل ذلك؟"
"Are you sure?","هل أنت متأكد؟"
"Average Customer Rating","متوسط تقييم العميل"
"Average Customer Rating:","متوسط تقييم العميل:"
"Back","للخلف"
"Back to Main Product Info","العودة إلى بيانات المنتج الرئيسية"
"Back to My Reviews","العودة إلى تقييماتي"
"Back to Product Reviews","العودة لمراجعات المنتج"
"Be the first to review this product","كن أول من يراجع هذا المنتج"
"Created On","Created On"
"Customer","العميل"
"Customer Reviews","مراجعات العميل"
"Delete","حذف"
"Delete Review","حذف مراجعة"
"Detailed Rating","التقييم المفصل"
"Edit Review '%s'","تحرير المراجعة '%s'"
"Guest","زائر"
"How do you rate this product?","كيف تقيم هذا المنتج؟"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","My Product Reviews"
"My Recent Reviews","My Recent Reviews"
"Name","الاسم"
"Name In Store","الاسم بالمتجر"
"New Review","مراجعة جديدة"
"Nickname","Nickname"
"Pending Reviews","Pending Reviews"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","من فضلك قم باختيار منتج"
"Please select one of each of the ratings above","من فضلك قم باختيار إحدي التقييمات بالأعلى"
"Posted By","Posted By"
"Price","السعر"
"Product","المنتج"
"Product Name","اسم المنتج"
"Product Rating","تقييم المنتج"
"Product Rating:","تقييم المنتج:"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product Reviews","مراجعات المنتج"
"Product SKU","Product SKU"
"Qty","الكمية"
"Rating:","التقييم:"
"Review","المراجعة"
"Review Details","تفاصيل المراجعة"
"Review by %s","Review by %s"
"Reviews and Ratings","Reviews and Ratings"
"SKU","SKU"
"Save Review","حفظ المراجعة"
"Status","الحالة"
"Submit Review","إرسال مراجعة"
"Summary Rating","تقييم الملخص"
"Summary of Review","ملخص المراجعة"
"Summary of Your Review","ملخص مراجعتك"
"Summary of review","ملخص المراجعة"
"Title","العنوان"
"Type","النوع"
"Unable to post review. Please, try again later.","لا يمكن نشر المراجعة. من فضلك حاول مرة أخرى."
"Update status","حالة التحديث"
"View All Reviews","عرض كل المراجعات"
"View Details","عرض التفاصيل"
"Visible In","Visible In"
"Websites","Websites"
"Write Your Own Review","كتابة مراجعتك"
"You have submitted no reviews.","لم تقم بإرسال أية مراجعات."
"You're reviewing: %s","أنت تراجع: %s"
"Your Rating:","تقييمك:"
"Your Review (submitted on %s):","مراجعتك (أرسلت في %s):"
"Your review has been accepted for moderation","لقد تم قبول مراجعتك للإشراف"
"OR","OR"
"My Product Reviews","My Product Reviews"
