"Billing Information","معلومات الدفع"
"Change Payment Method","تغيير طريقة الدفع"
"Change Shipping Address","تغيير عنوان الشحن"
"Edit Shopping Cart","تحرير عربة التسوق"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","السلع في عربة تسوقك"
"No shipping method required.","No shipping method required."
"PayPal Account","حساب باي بال"
"PayPal Email","PayPal Email"
"Payment Method","طريقة الدفع"
"Place an Order","تقديم طلب شراء"
"Please select a shipping method...","من فضلك اختر طريقة شحن..."
"Price","السعر"
"Product Name","اسم المنتج"
"Qty","الكمية"
"Review Order","معاينة طلب الشراء"
"Shipping Address","عنوان الشحن"
"Shipping Information","معلومات الشحن"
"Shipping Method","طريقة الشحن"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Submitting order information...","جار إرسال معلومات طلب الشراء..."
"Subtotal","Subtotal"
"Update Shipping Method","تحديث طريقة الشحن"
"You will be redirected to PayPal website when you place an order.","سيتم إعادة تحويلك لموقع باي بال عند تقديمك لطلب الشراء."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","سيتم تجاهل عنوان الدفع الخاص بك وإعادة تحويلك إلى موقع باي بال"
