"%s already exist","%s موجود بالفعل"
"%s already exists","%s موجود بالفعل"
"-- Please Select --","-- من فضلك اختر --"
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Please enter a valid URL. http:// is required"
"Please enter a valid credit card number.","من فضلك قم بإدخال رقم بطاقة إئتمان صحيح."
"Please enter a valid date.","من فضلك قم بإدخال تاريخ صحيح."
"Please enter a valid email address. For example johndoe@domain.com.","من فضلك قم بإدخال بريد إلكتروني صحيح. كمثال johndoe@domain.com."
"Please enter a valid number in this field.","من فضلك قم بإدخال رقم صحيح في هذا الحقل."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","من فضلك قم بإدخال رقم هاتف صحيح. كمثال (123) 456-7890 أو 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789."
"Please enter a valid zip code.","Please enter a valid zip code."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Please enter valid password.","من فضلك قم بإدخال كلمة مرور صحيحة."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","من فضلك تأكد من تطابق كلمة المرور."
"Please select State/Province.","من فضلك اختر ولاية/مقاطعة."
"Please select an option.","Please select an option."
"Please select one of the above options.","Please select one of the above options."
"Please select one of the options.","Please select one of the options."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","Please use letters only (a-z) in this field."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","من فضلك قم باستخدام أرقام فقط في هذا الحقل. من فضلك تجنب استخدام المسافات أو أي رموز أخرى كالنقاط أو الفواصل."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006."
"Please wait, loading...","من فضلك انتظر، جار التحميل..."
"Polls","Polls"
"Port (25)","منفذ (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","طلب مسار للمتجر المحدد"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Resource is not set"
"Root Category","التصنيف الجذر"
"SMTP settings (Windows server only)","SMTP settings (Windows server only)"
"Sales representative","مندوب المبيعات"
"Save","حفظ"
"Save Store","حفظ المتجر"
"Save Store View","حفظ عرض المتجر"
"Save Website","حفظ الموقع"
"Search Engines Optimization","Search Engines Optimization"
"Secure","آمن"
"Security","Security"
"Select Date","Select Date"
"Sender email","البريد الإلكتروني للمرسل"
"Sender name","اسم المرسل"
"Services","خدمات"
"Session Cookie management","Session Cookie management"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"Set as default","Set as default"
"Skin (Images / CSS)","Skin (Images / CSS)"
"Sort order","Sort order"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Start date can't be greater than end date"
"Startup page","Startup page"
"Status","الحالة"
"Store","المتجر"
"Store Email Addresses","عناوين البريد الإلكتروني للمتجر"
"Store Information","بيانات المتجر"
"Store Name","اسم المتجر"
"Store View","Store View"
"Store View Information","بيانات عرض المتجر"
"Store View Name","اسم عرض المتجر"
"Store View was successfully saved","تم حفظ عرض المتجر بنجاح"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","تم حذف المتجر بنجاح."
"Store was successfully saved","تم حفظ المتجر بنجاح"
"Store with the same code","متجر له نفس الكود"
"System","النظام"
"System Log File Name","System Log File Name"
"Template Path Hints","تلميحات مسار القالب"
"Templates","قوالب"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","Themes"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","هذا التصنيف فقط"
"This is a required field.","هذا الحقل مطلوب."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","Timezone"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","ترجمات"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","لا يمكن الاستمرار. من فضلك حاول مرة أخرى"
"Unknown scope ""%s""","Unknown scope ""%s"""
"Unsecure","غير آمن"
"Url Options","Url Options"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","Use Secure URLs in Admin"
"Use Secure URLs in Frontend","Use Secure URLs in Frontend"
"Use Web Server Rewrites","Use Web Server Rewrites"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Web"
"Website","الموقع"
"Website Information","بيانات الموقع"
"Website Name","اسم الموقع"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","تم حذف الموقع بنجاح."
"Website was successfully saved","تم حفظ الموقع بنجاح"
"Website with the same code","موقع له نفس الكود"
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Wrong number of arguments for %s","Wrong number of arguments for %s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","لقد انتهت صلاحية جلستك. سيتم إعادة تسجيل دخولك الآن."
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
