"Actions","العمليات"
"Add Answer","اضف اجابة"
"Add New Answer","اضف اجابة جديدة"
"Add New Poll","أضف استفتاءا جديدا"
"Answer Title","نص الاجابة"
"Answer Title:","نص الاجابة:"
"Answer was successfully saved","تم حفظ الاجابة بنجاح"
"Answer with the same title in this poll","تم استخدام اجابة سابقة بنفس هذا النص"
"Are you sure you want to delete it?","هل انت متأكد انك تريد الحذف ؟"
"Assigned Answers","اجابات مخصصة"
"Closed","مغلق"
"Community Poll","استفتاءات المجتمع"
"Date Closed","تاريخ الغلق"
"Date Posted","تاريخ الاضافة"
"Delete","حذف"
"Delete Answer","احذف اجابة"
"Delete Poll","احذف استفتاءا"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Answer '%s'","حرر اجابة'%s'"
"Edit Poll '%s'","حرر استفتاءا '%s'"
"Edit Poll Answer","حرر اجابة فى استفتاء"
"ID","المعرف"
"Invalid Answer","اجابة خاطئة"
"New Poll","استفتاءا جديدا"
"Number of Responses","عدد الاستجابات"
"Open","Open"
"Poll Answers","اجابات الاستفتاء"
"Poll Information","بيانات الاستفتاء"
"Poll Manager","مدير الاستفتاءات"
"Poll Question","سؤال الاستفتاء"
"Poll information","بيانات الاستفتاء"
"Poll not exists","الاستفتاء غير موجود"
"Poll with the same question","استفتاء بنفس الاجابة"
"Save Answer","احفظ الاجابة"
"Save Poll","احفظ الاستفتاء"
"Status","الحالة"
"Unable to find answer to delete.","لا يمكن ايجاد اجابة لحذفها"
"Visible In","مرئية فى"
"Vote","صوت
Votes Count"""
"Votes Count","Votes Count"
"Votes Count:","عدد الاصوات:"
