"--Please Select--","--أختر من فضلك--"
"<label>Make Check payable to:</label> %s","<label>اجعل الشيك مدفوعا لـ:</label> %s"
"<label>Make Check payable to</label>: %s","<label>اجعل الشيك مدفوعا لـ</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Can not retrieve payment info model object.","Can not retrieve payment info model object."
"Can not retrieve payment method instance","Can not retrieve payment method instance"
"Can not retrieve payment method model object.","Can not retrieve payment method model object."
"Card Verification Number","رقم تأكيد بطاقة الائتمان"
"Check / Money order","Check / Money order"
"Credit Card Number","رقم بطاقة الائتمان"
"Credit Card Number: %s","رقم بطاقة الائتمان: %s"
"Credit Card Number: xxxx-%s","رقم بطاقة الاتمان: xxxx-%s"
"Credit Card Type","نوع بطاقة الأتمان"
"Credit Card Type: %s","نوع بطاقة الأتمان: %s"
"Credit Card Types","انواع بطاقة الائتمان"
"Credit Card Verification","تأكيد بطاقة الأتمان"
"Enabled","مفعل"
"Expiration Date","تاريخ الانتهاء"
"Expiration Date: %s/%s","تاريخ الأنتهاء: %s/%s"
"Make Check payable to","اجعل الشيك مدفوعا الى"
"Make Check payable to: %s","اجعل الشيك مدفوعا الى: %s"
"Maximum Order Total","Maximum Order Total"
"Minimum Order Total","Minimum Order Total"
"Month","شهر"
"Name on Card","الاسم على البطاقة"
"Name on the Card: %s","الاسم على البطاقة: %s"
"New order status","حالة الطلب الجديد"
"Payment Methods","نظم الدفع"
"Payment Methods Section","Payment Methods Section"
"Payment from Specific countries","الدفع من بلدان معينة"
"Payment from applicable countries","الدفع "
"Purchase Order Number","رقم طلب الشراء"
"Purchase Order Number: %s","رقم طلب الشراء: %s"
"Purchase order","طلب الشراء"
"Saved CC","افظ نسخا احتياطية"
"Send Check to","ارسل الشيك الى"
"Send Check to:","ارسل الشيك الى:"
"Sort order","رتب الطلب"
"Title","العنوان"
"What is this?","ما هذا ؟"
"Year","السنة"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
