"ALL","الكل"
"ANY","أى"
"Add","اضف"
"Apply","نفذ"
"Description: %s","الوصف: %s"
"Expire at: %s","تنتهى فى: %s"
"FALSE","FALSE"
"If %s of these conditions are %s:","لو  %s اى من هذة الشروط كانت %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","الأسم: %s"
"Open Chooser","افتح الاختيارى"
"Perform following actions","طبق العمليات التالية"
"Please choose a condition to add...","من فضلك اختر شرطا لاضافتة..."
"Please choose an action to add...","من فضلك اختر علمية لاضافتها..."
"Remove","احذف"
"Start at: %s","يبدأ فى: %s"
"TRUE","TRUE"
"by","بواسطة"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","الى"
