"-- Please Select --","-- من فضلك اختر --"
"Add New Class","إضافة شريحة جديدة"
"Add New Tax Rate","إضافة معدل ضريبة جديد"
"Add New Tax Rule","إضافة قاعدة ضريبية جديدة"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Back","العودة"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","اسم الشريحة"
"Code","Code"
"Country","الدولة"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","المقاطعة"
"Custom price if available","Custom price if available"
"Customer Tax Class","شريحة العميل الضريبية"
"Customer Tax Class Information","معلومات شريحة العميل الضريبية"
"Customer Tax Classes","شرائح العميل الضريبية"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","حذف شريحة"
"Delete Rate","حذف معدل"
"Delete Rule","حذف قاعدة"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","Display full tax summary"
"Edit Class","تحرير شريحة"
"Edit Class '%s'","تحرير شريحة '%s'"
"Edit Rule","تحرير قاعدة"
"Edit Tax Rate","تحرير معدل الضريبة"
"Error while deleting this class. Please try again later.","خطأ أثناء حذف هذه الشريحة. من فضلك حاول مرة أخرى."
"Error while deleting this rate. Incorrect rate ID","خطأ أثناء حذف هذا المعدل. معرف المعدل غير صحيح"
"Error while deleting this rate. Please try again later.","خطأ أثناء حذف هذا المعدل. من فضلك حاول مرة أخرى."
"Error while deleting this tax rule. Please try again later.","خطأ أثناء حذف قاعدة الضريبة هذه. من فضلك حاول مرة أخرى."
"Error while saving this rate. Please try again later.","خطأ أثناء حفظ هذا المعدل. من فضلك حاول مرة أخرى."
"Error while saving this tax class. Class with the same name ","خطأ أثناء حفظ هذه الشريحة الضريبية. شريحة بنفس الاسم "
"Error while saving this tax class. Please try again later.","خطأ أثناء حفظ هذه الشريحة الضريبية. من فضلك حاول مرة أخرى."
"Error while saving this tax rule. Please try again later.","خطأ أثناء حفظ قاعدة الضريبة هذه. من فضلك حاول مرة أخرى."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","استثناء الضريبة"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","تصدير معدلات الضريبة"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","استيراد/تصدير معدلات الضريبة"
"Import Tax Rates","استيراد معدلات الضريبة"
"Inc. Tax","تضمين الضريبة"
"Incl. Tax","تضمين الضريبة"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","بيانات المعدل غير صحيحة"
"Invalid data for tax rate calculation","بيانات غير صحيحة لحساب معدل الضريبة"
"Invalid file format upload attempt","Invalid file format upload attempt"
"Invalid file upload attempt","محاولة رفع ملف غير صحيحة"
"Manage Customer Tax Classes","إدارة شرائح العملاء الضريبية"
"Manage Product Tax Classes","إدارة شرائح المنتجات الضريبية"
"Manage Tax Rates","إدارة معدلات الضريبة"
"Manage Tax Rules","إدارة قواعد الضريبة"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","شريحة جديدة"
