"Action","Acción"
"Add Sitemap","Añadir Mapa del Sitio"
"Always","Siempre"
"CMS Pages Options","Opciones de Página CMS"
"Categories Options","Opciones de Categorías"
"Daily","Diariamente"
"Edit Sitemap","Editar Mapa del Sitio"
"Enabled","Activado"
"Error Email Recipient","Error en Destinatario de Correo Electronico"
"Error Email Sender","Error en Remitente de Correo Electronico"
"Error Email Template","Error en Plantilla de Correo Electronico"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","El archivo ""%s"" no se puede guardar. Asegúrese que el directorio ""%s"" tiene permisos de escrituta para el servidor web."
"Filename","Nombre de Archivo"
"Frequency","Frecuencia"
"Generate","Generar"
"Generation Settings","Configuraciones de la Generación"
"Google Sitemap","Google Sitemap"
"Google Sitemap Section","Sección Google Sitemap"
"Hourly","Cada Hora"
"ID","ID"
"Last Time Generated","Última Hora de Creación"
"Link for Google","Enlace para Google"
"Monthly","Mensualmente"
"Never","Nunca"
"New Sitemap","Nuevo Mapa del Sitio"
"Path","Ruta"
"Please create the specified folder ""%s"" before saving the sitemap.","Por favor crear la carpeta especificada ""%s"" antes de guardar el Mapa del Sitio."
"Please define correct path","Por favor defina la ruta correcta"
"Please make sure that ""%s"" is writable by web-server.","asegúrese que ""%s"" tiene permisos de escritura para el servidor web."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Usar solamente letras (a-z or A-Z), números (0-9) o guión bajo (_) en el nombre de archivo. No se permiten espacios u otros caracteres."
"Priority","Prioridad"
"Priority must be between 0 and 1","La Prioridad debe ser un número entre 0 y 1"
"Products Options","Opciones de Productos"
"Sitemap","Mapa del Sitio"
"Sitemap ""%s"" has been successfully generated","Mapa del Sitio ""%s"" ha sido generado correctamente"
"Sitemap generate Warnings","Mapa del Sitio generado Advertencia"
"Sitemap was successfully deleted","Mapa del Sitio fue eliminado correctamente"
"Sitemap was successfully saved","Mapa del Sitio fue guardado correctamente"
"Start Time","Hora de Inicio"
"Store View","Vista de Tienda"
"This sitemap no longer exists","Este mapa de sitio no existe"
"Unable to find a sitemap to delete","No se puede encontrar el mapa del sitio para eliminarlo"
"Unable to find a sitemap to generate","No se puede encontrar el mapa del sitio para generarlo"
"Unable to generate a sitemap","No se puede generar el mapa del sitio"
"Valid values range from 0.0 to 1.0","El rango de Valores válidos está entre 0.0 y 1.0"
"Weekly","Semanalmente"
"Yearly","Anualmente"
