"%s was successfully added to your shopping cart.","%s was successfully added to your shopping cart."
"&laquo; Back to Billing Information","&laquo; Back to Billing Information"
"&laquo; Back to Select Addresses","&laquo; Back to Select Addresses"
"&laquo; Back to Shopping Cart","&laquo; Back to Shopping Cart"
"* Required Fields","* Required Fields"
"Add New Address","Añadir nueva dirección"
"Add New Condition","Add New Condition"
"Add to Cart","Añadir al carro"
"Add to Compare","Add to Compare"
"Add to Wishlist","Añadir a Favoritos"
"Address","Dirección"
"Address %s of %s","Dirección <span class=""shipment-count"">%s</span> de %s"
"After adding a product redirect to shopping cart","After adding a product redirect to shopping cart"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","¿Está registrado?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","Usar Cupón"
"Are you sure you would like to remove this item from the shopping cart?","¿Estas seguro de que quieres eliminar este artículo del carro de compra?"
"Back","Atrás"
"Back to Shipping Information","Back to Shipping Information"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Billing Address","Dirección de Facturación"
"Billing Information","Información de Facturación"
"Billing Information - %s","Billing Information - %s"
"Can not add item to shopping cart","Can not add item to shopping cart"
"Can not apply coupon code.","Can not apply coupon code."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Cancel Coupon"
"Cannot remove item","No se puede eliminar el artículo"
"Cannot update shopping cart","No se puede actualizar el carro de compra"
"Card Verification Number Visual Reference","Referencia Visual del Número de Verificación de la Tarjeta"
"Cart Subtotal:","Cart Subtotal:"
"Change","Change"
"Change Billing Address","Cambiar la dirección de facturación"
"Checkbox text","Checkbox text"
"Checkout","Comprar"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Checkout Options"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Comprar como invitado"
"Checkout as a Guest or Register","Compre como Invitado o Regístrese"
"Checkout method","Método de Facturación"
"Checkout with Multiple Addresses","Comprar con Múltiples Direcciones"
"City","Ciudad"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","Cerrar"
"Company","Compañía"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Configurable product image"
"Confirm Password","Confirmar contraseña"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Continuar"
"Continue Shopping","Continue Shopping"
"Continue to Billing Information","Continuar con la Información de Facturación"
"Continue to Review Your Order","Continue la Revisión de Su Pedido"
"Continue to Shipping Information","Continue to Shipping Information"
"Country","País"
"Coupon code ""%s"" is not valid.","Coupon code ""%s"" is not valid."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Coupon code was canceled successfully."
"Create Billing Address","Crear dirección de facturación"
"Create Shipping Address","Crear Dirección de Envío"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Data saving problem"
"Default Billing","Dirección prederterminada"
"Default Shipping","Envío Predeterminado"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","Códigos de descuento"
"Display Cart Summary","Display Cart Summary"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Display item quantities"
"Display number of items in cart","Display number of items in cart"
"Easy access to your order history and status","Fácil acceso para su historial de pedidos y estado"
"Edit","Editar"
"Edit Address","Editar Dirección"
"Edit Billing Address","Editar Dirección de Facturación"
"Edit Items","Editar Artículos"
"Edit Shipping Address","Editar Dirección de Envío"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Editar su carro"
"Email Address","Correo Electrónico"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Enabled"
"Enter a New Address","Ingrese una nueva dirección"
"Enter your coupon code if you have one.","Enter your coupon code if you have one."
"Enter your destination to get a shipping estimate.","Ingrese su destino para hacer una estimación del envío."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Calcular Envío e Impuestos"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Compra rápida y fácil"
"Fax","Fax"
"Forgot an Item?","¿Olvidó un Artículo?"
"Forgot your password?","¿Has olvidado tu contraseña?"
"Get a Quote","Solicitar una Cotización"
"Grand Total:","Total:"
"Grouped product image","Grouped product image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Datos incorrectos"
