"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Rating","Añadir Nueva Clasificación"
"Assigned Options","Opciones Asignadas"
"Be the first to review this product","Sea el primero en revisar este producto"
"Default Value","Valor Predeterminado"
"Delete Rating","Eliminar Clasificación"
"Edit Rating","Editar Clasificación"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Si no especifica un título calificación para una tienda, se utilizará el valor predeterminado."
"Manage Ratings","Administrar Clasificaciones"
"New Rating","Nueva Clasificación"
"Option Label","Opción de Etiqueta"
"Option Title","Opción de Titulo"
"Option Title:","Opción de Titulo:"
"Please select one of each ratings above","Por favor seleccione uno de cada clasificaciones mayores"
"Rating Information","Informacion de Clasificación"
"Rating Name","Nombre de Clasificación"
"Rating Options","Opciones de Clasificación"
"Rating Title","Titulo de Clasificación"
"Rating Visibility","Clasificación Visiblemente"
"Rating isn't Available","Clasificaciónno esta Disponible"
"Rating with the same title","Clasificación con el mismo título"
"Save Rating","Guardar Clasificación"
"Visible In","Visible En"
