"Actions","Acciones"
"Add Answer","Nueva Respuesta"
"Add New Answer","Añadir Nueva Respuesta"
"Add New Poll","Añadir Nueva Encuesta"
"Answer Title","Titulo de Respuesta"
"Answer Title:","Titulo de Respuesta:"
"Answer was successfully saved","Respuesta se ha guardado correctamente"
"Answer with the same title in this poll","Responda con el mismo título de esta encuesta"
"Are you sure you want to delete it?","¿Usted está seguro que deseas eliminarlo?"
"Assigned Answers","Respuestas Asignados"
"Closed","Cerrado"
"Community Poll","Comunidad de encuestas"
"Date Closed","Fecha de Cierre"
"Date Posted","Fecha de Publicación"
"Delete","Eliminar"
"Delete Answer","Eliminar Respuesta"
"Delete Poll","Eliminar Encuesta"
"Disallow voting in a poll multiple times from same IP-address","No se permite votar en una encuesta varias veces desde el mismo IP"
"Edit Answer '%s'","Editar Respuesta '%s'"
"Edit Poll '%s'","Editar Encuesta '%s'"
"Edit Poll Answer","Editar Respuesta de Encuesta"
"ID","ID"
"Invalid Answer","Respuesta Invalida"
"New Poll","Nueva Encuesta"
"Number of Responses","Número de Respuestas"
"Open","Open"
"Poll Answers","Respuestas de la Encuesta"
"Poll Information","Información de la Encuesta"
"Poll Manager","Administrar Encuesta"
"Poll Question","Pregunta de la Encuenta"
"Poll information","Información de la Encuesta"
"Poll not exists","No existe Encuesta"
"Poll with the same question","Encuesta con la misma pregunta"
"Save Answer","Guardar Respuesta"
"Save Poll","Guarar Encuesta"
"Status","Estado"
"Unable to find answer to delete.","Incapaz de encontrar respuesta a eliminar."
"Visible In","Visible En"
"Vote","Votar"
"Votes Count","Conteo de Votos"
"Votes Count:","Conteo de Votos:"
