"%d Review(s)","%d Revisiones(s)"
"%s Review(s)","%s Review(s)"
"(Posted on %s)","(Posteado on %s)"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Review","Add New Review"
"Add Your Review","A&ntilde;ada su revisi&oacute;n"
"Administrator","Administrator"
"All Reviews","All Reviews"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Are you sure?","Are you sure?"
"Average Customer Rating","Clasificaci&oacute;n de Cliente Media"
"Average Customer Rating:","Clasificaci&oacute;n media de Cliente:"
"Back","Atr&aacute;s"
"Back to Main Product Info","Vuelta al producto principal"
"Back to My Reviews","Vuelta a mis Revisiones"
"Back to Product Reviews","Vuelta a Revisiones de Productos"
"Be the first to review this product","Sea el primero en revisar el producto"
"Created On","Created On"
"Customer","Customer"
"Customer Reviews","Revisiones de Clientes"
"Delete","Delete"
"Delete Review","Delete Review"
"Detailed Rating","Detailed Rating"
"Edit Review '%s'","Edit Review '%s'"
"Guest","Guest"
"How do you rate this product?","C&oacute;mo clasificar&iacute;as a este producto?"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Mis revisiones de Producto"
"My Recent Reviews","Mis revisiones recientes"
"Name","Name"
"Name In Store","Name In Store"
"New Review","New Review"
"Nickname","Apodo"
"Pending Reviews","Pending Reviews"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Please select a product"
"Please select one of each of the ratings above","Por favor, seleccione una de las clasificaciones de arriba"
"Posted By","Posted By"
"Price","Price"
"Product","Product"
"Product Name","Product Name"
"Product Rating","Product Rating"
"Product Rating:","Clasificaci&oacute;n del Producto:"
"Product Review (submitted on %s):","<strong>Revisi&oacute;n de producto</strong> (enviada en %s):"
"Product Reviews","Revisiones de productos"
"Product SKU","Product SKU"
"Qty","Cantidad"
"Rating:","Clasificaci&oacute;n:"
"Review","Revisi&oacute;n"
"Review Details","Detalles de revisi&oacute;n"
"Review by %s","por <em>%s</em>"
"Reviews and Ratings","Reviews and Ratings"
"SKU","SKU"
"Save Review","Save Review"
"Status","Status"
"Submit Review","Enviar revisi&oacute;n"
"Summary Rating","Summary Rating"
"Summary of Review","Summary of Review"
"Summary of Your Review","Resumen de tu revisi&oacute;n"
"Summary of review","Summary of review"
"Title","Title"
"Type","Type"
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later."
"Update status","Update status"
"View All Reviews","Ver todas las Revisiones"
"View Details","Ver detalles"
"Visible In","Visible In"
"Websites","Websites"
"Write Your Own Review","Escribe tu propia revisi&oacute;n"
"You have submitted no reviews.","No ha enviado revisiones."
"You're reviewing: %s","Est&aacute;s revisando: <span class=""normal-weight"">%s</span>"
"Your Rating:","Tu clasificaci&oacute;n:"
"Your Review (submitted on %s):","<strong>Tu revisi&oacute;n</strong> (enviada en %s):"
"Your review has been accepted for moderation","Tu revisi&oacute;n ha sido aceptada para moderaci&oacute;n"
"OR","OR"
"My Product Reviews","My Product Reviews"
