"All Websites","Todos los Sitios Web"
"Apply Percent Discounts To FPT","Aplicar Porcentajes de Descuento a FPT"
"Apply Tax To FPT","Aplicar Impuestos a FPT"
"Display Prices In Emails","Mostrar Precios en Correos Electrónicos"
"Display Prices In Product Lists","Mostrar Precios en Listados de Productos"
"Display Prices In Sales Modules","Mostrar Precios en Módulos de Ventas"
"Display Prices On Product View Page","Mostrar precios en páginas de Ver Productos"
"Enable FPT","Activar FPT"
"Excluding FPT","Excluir FPT"
"Excluding FPT, FPT description, final price","Excluir FPT, Descripción FPT, precio final"
"Fixed Product Tax","Impuesto Fijo a Productos"
"Fixed Product Taxes","Impuestos Fijos a Productos"
"Include FPT In Subtotal","Incluir FPT en Subtotal"
"Including FPT and FPT description [excl. FPT VAT]","Incluir FPT y descripción FPT [excl. FPT VAT]"
"Including FPT and FPT description [incl. FPT VAT]","Incluir FPT y descripción FPT [incl. FPT VAT]"
"Including FPT only","Incluir solamente FPT"
"Total","Total"
"Total incl. tax","Total incl. impuestos"
