"Action","Acción"
"All types","Todos los tipos"
"Backup file ""%s"" can't read or write","Archivo de respaldo ""%s"" no se puede leer o escribir"
"Backup file ""%s"" doesn't exist","Archivo de respaldo ""%s"" no existe"
"Backup file doesn't exist","El archivo de respaldo no existe"
"Backup file handler don't specify","Manejador del archivo de respaldo no especificado"
"Backup file path don't specify","Ruta del archivo de respaldo no especificado"
"Backups","Respaldos"
"Cannot read backup file","No se puede leer el archivo de respaldo"
"Create Backup","Crear Respaldo"
"DB","DB"
"Database was successfuly backed up.","Base de datos fue respaldado exitosamente."
"Download","Descarga"
"Error write to Backup file ""%s""","Error de escritura en el archivo de respaldo ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Archivo comprimido con Zlib, pero esta extensión no está instalado en el servidor"
"Size, byte","Tamaño, byte"
"Time","Tiempo"
"Type","Tipo"
"Unable to create backup. Please, try again later.","No se puede crear respaldo. Por favor, vuelva a intentarlo más tarde."
"Wrong order of creation for new backup","Orden incorrecto de la creación para el nuevo respaldo"
