"# of Uses","# de Usos"
"%s tag(s) have been accepted for moderation","%s tag(s) han sido aceptadas por la moderación"
"Action","Acción"
"Actions","Accions"
"Add New Tag","Añadir Nueva Etiqueta"
"Add Tags","Añadir Etiqueta"
"Add Your Tags:","Añadir Sus Etiquetas:"
"Add to Cart","Añadir al Carro"
"Add to Wishlist","Añadir a la Lista de deseos"
"All Tags","Todas las Etiquetas"
"Approved","Aprobado"
"Are you sure that you want to delete this tag?","¿Usted está seguro que quieres eliminar esta etiqueta?"
"Are you sure you want to delete this tag?","¿Usted está seguro que quieres eliminar esta etiqueta?"
"Are you sure you want to do this?","Usted está seguro que quieres hacer esto?"
"Are you sure?","Usted está seguro?"
"Back","Volver"
"Back to Tags List","Volver a la Lista de Etiquetas"
"Back to view Tag","Volver a la vista de Etiquetas"
"Block Information","Información de Bloque"
"CSV","CSV"
"Change status","Cambiar estado"
"Click on a tag to view your corresponding products.","Haga clic en una etiqueta para ver los productos correspondientes."
"Country","País"
"Customer Since","Desde Cliente"
"Customers","Clientes"
"Customers Tagged '%s'","Clientes Etiquetados '%s'"
"Delete","Eliminar"
"Delete Tag","Eliminar Etiqueta"
"Disabled","Desactivado"
"Edit Tag","Editar Etiqueta"
"Edit Tag '%s'","Editar Etiqueta '%s'"
"Email","Correo Electronico"
"First Name","Nombre"
"General Information","Información General"
"Grid","Cuadricula"
"ID","ID"
"Last Name","Apellido"
"List","Lista"
"My Recent Tags","Mis Etiquetas Reciente"
"My Tags","Mis Etiquetas"
"Name","Nombre"
"New Tag","Nueva Etiqueta"
"No matches found.","No se encontraron coincidencias."
"Other people marked this product with these tags:","Otras personas marcaron este producto con las siguientes etiquetas:"
"Pending","Pendiente"
"Pending Tags","Etiquetas Pendientes"
"Popular","Popular"
"Popular Tags","Etiquetas Populares"
"Popularity","Popularidad"
"Price","Precio"
"Product Name","Nombre del Producto"
"Product SKU","SKU del Producto"
"Product Tags","Etiquetas del Producto"
"Products","Productos"
"Products Tagged with '%s'","Productos Etiquetados con '%s'"
"Products tagged with '%s'","Productos etiquetados con '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Productos etiquetados con '%s' (<a href='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","Etiqueta Guardada"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Resultado de Busqueda para '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Terminos de Busqueda"
"Status","Estado"
"Tag","Etiqueta"
"Tag ""%s"" has already been added to the product","Etiqueta ""%s"" ya ha sido añadida al producto"
"Tag Information","Información de Etiqueta"
"Tag Name","Nombre de Etiqueta"
"Tag Name: %s","Nombre de Etiqueta: %s"
"Tag can't be empty.","Etiqueta no puede estar vacía."
"Tagged in","Etiquetado en"
"Tags","Etiquetas"
"Tags Aren't Available","Las etiquetas No están Disponibles"
"Tags:","Etiquetas:"
"Telephone","Teléfono"
"Thank you. Your tag has been accepted for moderation.","Gracias. La etiqueta ha sido aceptado para su moderación."
"Unable to find any products tagged with '%s' in the current store","No se puede encontrar cualquier producto con la etiqueta '%s' en la tienda actual"
"Unable to remove tag. Please, try again later.","No se puede quitar la etiqueta. Por favor, vuelva a intentarlo más tarde."
"Unable to save tag(s)","No se puede guardar etiqueta(s)"
"Unable to save your tag. Please, try again later.","No se puede guardar etiqueta. Por favor, vuelva a intentarlo más tarde."
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espacios para separar las etiquetas. Use comillas simples (') para las frases."
"Uses","Usos"
"View All","Ver Todo"
"View All Tags","Ver Todas las Etiquetas"
"View Customers","Ver Clientes"
"View Products","Ver Productos"
"Visible In","Visible En"
"XML","XML"
"You have not tagged any products yet.","No ha etiquetado ningún producto todavía."
"Your tag was successfully deleted","Su etiqueta se ha eliminado correctamente"
"Your tag was successfully saved","Su etiqueta se ha guardado correctamente"
"ZIP/Post Code","Codigo Postal"
"You have not tagged any products yet.","No ha marcado ningún producto todavía."
