"Abandoned carts","Carros Abandonados"
"Action","Acción"
"Add to Cart","Añadir al carro"
"Add to Compare","Añadir a la comparación"
"Add to Wishlist","Añadir al Listado"
"Applied Coupon","Aplicar cupón"
"Avg. approved rating","Promedio de Calificaciones aprobadas"
"Avg. rating","Promedio de calificaciones"
"Bestsellers","Más Vendidos"
"Bought from wishlists","Comprado desde Listados"
"CSV","CSV"
"Carrier/Method","Método/Despacho"
"Carts","Carros"
"Coupons","Cupones"
"Created at","Creado el"
"Customer","Cliente"
"Customer Name","Nombre del Cliente"
"Customer Tags","Etiquetas del Cliente"
"Customers","Clientes"
"Customers Report","Reporte de Clientes"
"Customers Reviews","Revisiones de Clientes"
"Customers Tags","Etiquetas de  Clientes"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers that have wishlist: %s%","Clientes que tienen Listados: %s%"
"Day","Día"
"Default Recently Compared Products count","Contador por defecto de Productos Recientemente Comparados"
"Default Recently Viewed Products count","Contador por defecto de Productos recientemente vistos"
"Detail","Detalle"
"Discounts","Descuentos"
"Downloads","Descargas"
"Email","Correo Electrónico"
"Excel","Excel"
"First Name","Nombre"
"Guest","Invitados"
"Hits","Visitas"
"ID","ID"
"Invalid date specified","Fecha especificada incorrecta"
"Invoiced","Facturados"
"Items Ordered","Artículos Pedidos"
"Items in Cart","Artículos en Carro"
"Last Name","Apellido"
"Last Review","Última Revisión"
"Link","Enlace"
"Low stock","Poca Existencia"
"Month","Mes"
"Most Viewed","Más Vistos"
"Most viewed","Más Vistos"
"Name","Nombre"
"New Accounts","Cuentas Nuevas"
"Number Added","Número de Adiciiones"
"Number Fulfilled","Número de Cumplidos"
"Number Of Historical Uses","Número de Usos Históricos"
"Number Of Reviews","Número de Revisiones"
"Number Of Uses","Número de Usos"
"Number Purchased","Número de Comprados"
"Number Viewed","Número de Vistos"
"Number of Items","Número de Artículos"
"Number of Ivoiced Orders","Número de Pedidos Facturados"
"Number of New Accounts","Número de Nuevas Cuentas"
"Number of Orders","Número de Pedidos"
"Number of Refunded Orders","Número de Pedidos Devueltos"
"Number of Reviews","Número de Revisiones"
"Number of Total Tags","Número Total de Etiquetas"
"Number of Unique Tags","Número de Etiquetas únicas"
"Number of Views","Número de vistas"
"Number of items bought from a wishlist: %s","Número de artículos comprados desde un Listado: %s"
"Number of times deleted","Número de veces borrado"
"Number of times wishlists have been shared (emailed): %s","Número de veces que un listado ha sido compartido (enviado por correo): %s"
"Number of wishlist conversions: %s","Número de conversiones de Listados: %s"
"Number of wishlist referrals: %s","Números de referentes de Listados: %s"
"Number of wishlists: %s","Número de Listados: %s"
"Offline Refunded","Reembolsado fuera de línea"
"Online Refunded","Reembolsado en línea"
"Orders","Pedidos"
"Out of stock","Sin Existencia"
"Poducts Report","Reporte de Poductos"
"Popular Tags","Etiquetas más Populares"
"Popularity","Popularidad"
"Price","Precio"
"Product Name","Nombre de Producto"
"Product Reviews","Revisiones de Productos"
"Product Sku","SKU del Producto"
"Product Tags","Etiquetas de Productos"
"Products","Productos"
"Products Report","Reporte de Productos"
"Products Reviews","Revisiones de Productos"
"Products Sold","Products Sold"
"Products Tags","Etiquetas de Productos"
"Products in carts","Productos en Carros"
"Purchases","Compras"
"Quantity Ordered","Cantidad Pedida"
"Quantity of Items","Cantidad de Artículos"
"Rate","Tasa"
"Recently Compared Products","Productos Recientemente Comparados"
"Recently Viewed Products","Productos Vistos Recientemente"
"Recently Viewed/Compared Products","Vistos Recientemente/Productos Comparados"
"Refunded","Reembolsado"
"Reports","Reportes"
"Results","Resultados"
"Revenue","Ingresos"
"Review","Revisar"
"Reviews","Revisados"
"Reviews for %s","Revisiones para %s"
"Sales","Ventas"
"Sales Report","Reporte de Ventas"
"Search Terms","Términos de Búsqueda"
"Shipping","Despacho"
"Shopping Cart","Carro de Compras"
"Show for Current","Mostrar para el actual"
"Stock Qty","Cantidad en Existencia"
"Submitted In","Envíado en"
"Submitted On","Envíado el"
"Subtotal","Subtotal"
"Tag","Etiqueta"
"Tag ""%s"" details","Detalles de la Etiqueta ""%s"""
"Tag Detail","Detalle de la Etiqueta"
"Tag Name","Nombre de la Etiqueta"
"Tag use","Uso de la Etiqueta"
"Tags submited by %s","Etiquetas envíadas por %s"
"Tags submitted to %s","Etiquetas envíadas a %s"
"Tax","Impuesto"
"Tax Amount","Monto del Impuesto"
"Title","Título"
"Total","Total"
"Total Invoiced","Total Facturado"
"Total Invoiced Captured","Total Facturado Capturado"
"Total Invoiced not Captured","Total Facturado no Capturado"
"Total Refunded","Total Devuelto"
"Total Shipping","Total Despachado"
"Total Tags","Total de Etiquetas"
"Total invoiced","Total facturado"
"Total refunded","Total devuelto"
"Updated at","Actualizado el"
"Visible In","Visible en"
"Wishlist Report","Reporte de Listados"
"Wishlist vs. Regular Order","Listados vs. Pedidos Regulares"
"Wishlists","Listados"
"Year","Año"
"Your Recently Compared","Sus comparaciones recientes"
"Your Recently Viewed","Sus visitas recientes"
