"%s Item(s)","%s Producto(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2015 Magento Tienda de Demostracion. Todos los Derechos Reservados."
"(Shift-)Click or drag to change value","(Shift-)Click o arrastre para cambiar el valor"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Haga clic en cualquiera de las partes de la hora para aumentarlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenga pulsado el botón del ratón sobre cualquiera de los botones de arriba para una selección más rápida."
"- Use the %s buttons to select month","- Utilice el boton %s para seleccionar el mes"
"- Use the %s, %s buttons to select year","- Utilice el boton %s, %s para seleccionar el año"
"- or Shift-click to decrease it","- o mayúscula-clic para disminuirlo"
"- or click and drag for faster selection.","- o haga clic y arrastre para una selección más rápida."
"About the calendar","Sobre el calendario"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">Aquí</a> si nada a ocurrido"
"Close","Close"
"Close Window","Cerrar Ventana"
"DHTML Date/Time Selector","DHTML Selector Fecha/Hora"
"Date selection:","Date selection:"
"Default Description","Descripción predeterminada"
"Default welcome msg!","Mensaje de bienvenida predeterminado!"
"Display %s first","Muestra %s primero"
"Distributed under GNU LGPL. See %s for details.","Distribuido bajo GNU LGPL. Ver %s para detalles."
"Drag to move","Arrastre para mover"
"For latest version visit: %s","Para obtener la última versión de visita: %s"
"Go Today","Ir a Hoy"
"Help Us to Keep Magento Healthy","Ayúdenos a mantener Magento Saludable"
"Interface Language","Idioma de la Interfaz"
"Items %s to %s of %s total","<strong>%s</strong> Productos de <strong>%s</strong> <strong>%s</strong> totales"
"Next Page","Página siguiente"
"Next month (hold for menu)","Mes siguiente (mantener para menu)"
"Next year (hold for menu)","Año siguiente (mantener para menu)"
"Page:","Página:"
"Prev. month (hold for menu)","Mes anterior (mantener para menu)"
"Prev. year (hold for menu)","Año anterior (mantener para menu)"
"Previous Page","Página previa"
"Redirecting...","Redirigir..."
"Report All Bugs","Informar todos los errores"
"Select Store","Seleccionar Tienda"
"Select date","Seleccionar fecha"
"Show","Mostrar"
"Skip to Footer","Saltar al Pie"
"Skip to Left Column","Saltar a la Columna Izquierda"
"Skip to Main Content","Ir al Contenido Principal"
"Skip to Right Column","Saltar a la Columna Derecha"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta es una tienda de demostración. Cualquier pedido realizado a través de ésta tienda no será tenido en cuenta ni despachado."
"Time selection:","Selección de tiempo:"
"Time:","Hora:"
"Welcome, %s!","Bienvenido, %s!"
"You're currently on:","Ahora está en:"
"Your Language","Su Lenguaje"
"Your Language:","Su Lenguaje:"
"per page","por página"
"Your Language:","Su Lenguaje:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Ayúdenos a Mantener Saludable a Magento"
"Report All Bugs","Informar todos los errores"
"Your Language","Su Lenguaje"
