"%s is not correct comparsion method.","%s no es un método de comparación correcto."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Tome Nota</strong>, estos ajustes solo se aplican a los artículos de carro de compras, no al carro en sí."
"Allow Qty Below 0","Permitir Cantidad menor que 0"
"Allow Qty Below 0 and Notify Customer","Permitir Cantidad menor que 0 y notificar al cliente"
"Backorders","Pedidos Pendientes"
"By Fixed value","Por valor fijo"
"By Percentage","Por Porcentaje"
"Can not specify product identifier for order item","No se puede especificar el identiificador del producto para este ítem del pedido"
"Catalog Inventory","Inventario Catálogo"
"Decrease Stock When Order is Placed","Disminuye la existencia cuando se confirma el pedido"
"In Stock","En Existencia"
"Inventory","Inventario"
"Inventory API","API de Inventario"
"Inventory Section","Sección de Inventario"
"Manage Stock","Gestión de Existencias"
"Maximum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carro de compras"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carro de compras"
"No Backorders","Sin Pedidos Pendientes"
"Notify for Quantity Below","Notificar Baja Cantidad"
"Out of Stock","Fuera de Existencia"
"Product Stock Options","Opciones de Existencia de Producto"
"Qty for Items' Status to become Out of Stock","Cantidad para el Estado del Artículos para estar fuera de existencia"
"Retrieve stock data","Recuperar datos de existencia"
"Retrieve stock data by product ids","Recuperar datos de existencia por ID de producto"
"Rule price","Regla de Precio"
"Set Items' Status to be In Stock When Order is Cancelled","Configurar estado del Artículo para fijurar en existencia cuando el pedido es cancelado"
"Some of the products are currently out of stock","Alguno de los productos esta sin existencia actualmente"
"Some of the products can not be ordered in requested quantity","Alguno de los productos no puede ser pedido en la cantidad solicitada"
"Some of the products cannot be ordered in the requested quantity","Alguno de los productos no puede ser pedido en la cantidad solicitada"
"Stock Options","Opciones de Existencia"
"Stock item for Product in option is not valid","Item de Existencia para el producto es erróneo"
"Stock item for Product is not valid","Item de Existencia para el producto es erróneo"
"The maximum quantity allowed for purchase is %s.","La cantidad mínima para la compra es %s."
"The minimum quantity allowed for purchase is %s.","La cantidad mínima para la compra es %s."
"The requested quantity for ""%s"" is not available.","La cantidad solicitada para ""%s"" no está disponible."
"The requested quantity is not available.","La cantidad solicitada no está disponible."
"This product is currently out of stock.","El producto actualmente se encuentra sin existencia."
"To Fixed Value","A Valor Fijo"
"To Percentage","A Porcentaje"
"Update","Actualizar"
"Update product stock data","Actualizar datos de existencia del producto"
"Update the Product","Actualizar el Producto"
