"Add New Row","Añadir nueva fila"
"An error occurred while saving the file(s).","Ocurrió un error cuando se grababa el archivo(s)."
"Availability: In stock.","Disponibilidad: Con Existencia."
"Availability: Out of stock.","Disponibilidad: Sin Exisstencia."
"Back","Atrás"
"Can't connect to remote host, error: %s","No se puede conectar al Servidor remoto, error: %s"
"Canceled","Cancelado"
"Date","Fecha"
"Default Link Title","Título del enlace por defecto"
"Default Maximum Number of Downloads","Máximo número de descargas por defecto"
"Default Sample Title","Título de muestra por defecto"
"Disable Guest Checkout if cart contains downloadable items","Desactivar Comprar como invitado si el carro contiene artículos que se descargan"
"Downloadable Information","Información para Descargar"
"Downloadable Product","Producto para Descarga"
"Downloadable Product Options","Opciones de Producto para descarga"
"Downloadable product Section","Sección de Productos para descarga"
"Excl. Tax","Sin Impuestos"
"File","Archivo"
"File does not exists","Archivo no existe"
"From:","De:"
"Gift Message","Mensaje del Regalo"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir a <a href=""%s"">Mis productos para descargar</a>"
"Guest checkout will only work with shareable","Compra como invitado solamente trabaja con compartido"
"Incl. Tax","Impuesto Incluído"
"Invalid download URL host","Host de desgarga incorrecto"
"Invalid download URL scheme","Esquema de Descarga URL incorrecto"
"Invalid download link type","Tipo de enlace de descarga incorrecto"
"Invoiced","Facturado"
"Link has expired.","El enlace ha vencido."
"Link is not available.","El enlace no está disponible."
"Links can be purchased separately","Los enlaces pueden ser comprados por separado"
"Max. Downloads","Descargas Max."
"Message:","Mensaje:"
"My Downloadable Products","Mis Productos para descargar"
"Open Links in New Window","Abrir enlaces en nueva ventana"
"Order #","Pedido #"
"Order Item Status to enable Downloads","Estado del Item del pedido para activar descargas"
"Ordered","Pedido"
"Pending","Pendiente"
"Please log in to download your product.","Por favor ingrese al sitio para descargar su producto."
"Please set resource file and link type","Por favor configure recursos de archivo y tipo de enlace"
"Please specify product link(s).","Por favor especifique enlace(s) del producto."
"Price","Precio"
"Refunded","Reembolsado"
"Remaining Downloads","Esperando Descarga"
"Remove item","Retirar item"
"Requested link doesn't exist.","Enlace solicitado no existe."
"Sample","Muestra"
"Shareable","Compartido"
"Shipped","Despachado"
"Sorry, the was an error getting requested content. Please contact store owner.","Lo sentimos, se ha producido un error al obtener el contenido solicitado. Póngase en contacto con el dueño."
"Sorry, there was an error getting requested content","Sorry, there was an error getting requested content"
"Sorry, there was an error getting requested content. Please contact store owner.","Lo sentimos, se ha producido un error obteniendo el contenido solicitado. Póngase en contacto con el dueño."
"Sort Order","Ordenar Pedidos"
"Start Download","Comenzar Descarga"
"Status","Estado"
"Title","Título"
"To:","A:"
"U","U"
"Unlimited","Ilimitado"
"View Order","Ver Pedido"
"You have not purchased any downloadable products yet.","Usted no ha comprado ningún producto descargables todavía."
"attachment","adjunto"
"download","descarga"
"inline","en línea"
"sample","muestra"
"My Downloadable Products","Mis Productos Descargables"
"You have not purchased any downloadable products yet.","Usted no ha comprado ningún producto descargables todavía."
