" and "," y "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Ruta Absoluta o Relativa para la instalación de Magento, ej. var/export)"
"(For US 2-letter state names)","(Para USA nombres de estado de 2-letras)"
"(If left empty will be auto-generated)","(Si se deja vacío esta será auto-generada)"
"(Leave empty for first spreadsheet)","(Dejar en blanco para la primera hoja de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Los Productos serán añadidos/actualizados a esta tienda si la columna 'tienda' está en blanco o perdido en el archivo de importación.)"
"(Shift-)Click or drag to change value","(Mayúsculas-)Click o arrastrar para cambiar el valor"
"(Starting with)","(Comenzar con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cuando 'No', sólo los campos mapeados serán importados. Cuando mapee, use 'columna1', 'columna2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Debe aumentar el valor php memory_limit antes de cambiar este valor)"
"(\t for tab)","(t para tab)"
"- Click on any of the time parts to increase it","- Clic en cualquiera de las partes del tiempo para incrementarlo"
"- Hold mouse button on any of the above buttons for faster selection.","- Presione el botón del ratón en cualquiera de los botones de arriba para una selección rápida."
"- Use the %s buttons to select month","- Use el %s botón para elegir el mes"
"- Use the %s, %s buttons to select year","- Use el %s, %s botón para elegir el año"
"- or Shift-click to decrease it","- o Mayúsculas-clic para decrecerlo"
"- or click and drag for faster selection.","- o clic y arastrar para selección rápida."
"API:","API:"
"About the calendar","Acerca del calendario"
"Access Denied.","Acceso Denegado."
"Account Created in:","Cuenta creada el:"
"Account Created on (%s):","Cuenta creada el (%s):"
"Account Created on:","Cuenta Creada el:"
"Action","Acción"
"Actions","Acciones"
"Add","Agregar"
"Add Contents Path","Ruta para añadir contenidos"
"Add Field with URL:","Añadir campo con URL:"
"Add Maintainer","Añadir Mantenedor"
"Add New Role","Añadir Nuevo Rol"
"Add New Template","Añadir Nueva Plantilla"
"Add New User","Añadir Nuevo Usuario"
"Add PHP Extension dependency","Añadir dependencia de Extensión PHP"
"Add Package dependency","Añadir dependencia de paquete"
"Add Subpackage dependency","Añadir dependencia de subpaquete"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Address Type:","Tipo de Dirección:"
"All","Todos"
"All Websites","Todos los Sitios Web"
"All fields","Todos los campos"
"Archive file name:","Nombre de Archivo:"
"Are you sure that you want to delete this template?","¿Está usted seguro que quiere borrar esta plantilla?"
"Are you sure that you want to strip tags?","¿Está usted seguro que desea franja de etiquetas?"
"Attribute Set Name:","Nombre de Conjunto de Atributos:"
"Attributes","Atributos"
"Available Products","Productos Disponibles"
"Big Image","Imagen Grande"
"Billing Address","Dirección de Facturación"
"Bundle Items","Paquete de Artículos"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Paquete con precios dinámicos no se puede incluir en la definición de opciones personalizadas. Las opciones no se grabaron."
"CSV / Tab separated","CSV / Separado por Tab"
"Card Verification Number","Número de Verificación de la Tarjeta"
