"Actions","Acciones"
"Active","Activo"
"Add New Rule","Agregar Nueva Regla"
"Apply Rules","Aplicar Reglas"
"Attribute Set","Seleccionar Atributo"
"Catalog","Catalogo"
"Catalog Price Rule","Regla Catalogo de Precio"
"Catalog Price Rules","Regla Catalogo de Precios"
"Category","Categoria"
"Comments History","Historia de Comentarios"
"Conditions","Condiciones"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions Combination","Combinación de Condiciones"
"Credit Memos","Notas de Crédito"
"Customer Groups","Grupos de Clientes"
"Customer is new buyer: %s","El cliente es un nuevo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Date Expire","Expira Fecha"
"Date From","Desde Fecha"
"Date Start","Fecha Inicio"
"Date To","Fecha Para"
"Delete Rule","Eliminar Regla"
"Description","Descripción"
"Description: %s","Descripci&oacute;n: %s"
"Edit Rule","Editar Regla"
"Edit Rule '%s'","Editar Regla '%s'"
"Expire at: %s","Expira el: %s"
"From Date","Desde la Fecha"
"General Information","Información General"
"Gift Messages","Mensajes Regalo"
"ID","ID"
"Inactive","Inactivo"
"Invoices","Facturas"
"NOT LOGGED IN","NO HA INICIADO SESIÓN"
"Name: %s","Nombre: %s"
"New Rule","Nueva Regla"
"No","No"
"Options","Opciones"
"Order Credit Memos","Solicitar Notas de Crédito"
"Order Gift Messages","Solicitar Mensajes Regalo"
"Order History","Historial de pedidos"
"Order Invoices","Facturas de pedidos"
"Order Shipments","Envios de pedidos"
"Priority","Prioridad"
"Product Attribute","Atributo del Producto"
"Promotions","Promociones"
"Rule Information","Información de Regla"
"Rule Name","Nombre de Regla"
"Rule was successfully deleted","Reglas se eliminaron correctamente"
"Rule was successfully saved","Reglas se guardaron correctamente"
"Rules were successfully applied","Reglas se aplicaron correctamente"
"Save Rule","Guardar Regla"
"Save and Apply","Guardar y Aplicar"
"Shipments","Envios"
"Start at: %s","Comenzar en: %s"
"Status","Estado"
"Stop further rules processing","Detener el procesamiento reglas"
"The page you are trying to save no longer exists","La página que estás tratando de guardar ya no existe"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Hay reglas que se han cambiado pero no han sido aplicadas. Por favor, haga clic en Aplicar reglas con el fin de ver el efecto inmediato en el catálogo."
"This rule no longer exists","Esta regla ya no existe"
"To Date","A Fecha"
"Unable to apply rules","Imposible aplicar reglas"
"Unable to find a page to delete","Imposible encontrar una página a eliminar"
"Update product's %s %s: %s","Actualizar producto %s %s: %s"
"Websites","Sitios Web"
"Yes","Si"
