"%s is not supported currency.","%s no es una moneda aceptada."
"Accept","Aceptada"
"Basic","Básico"
"Cannot retreive rate from strikeirion.","No se puede recuperar la tasa desde strikeirion."
"Cannot retrieve rate from %s to %s","No se puede recuperar la tasa desde %s a %s"
"Check all email servers","Verificando todos los servidores de correo"
"Complete","Completo"
"Country/Region/Postal code combination","Pais/Region/Postal convinación de codigo"
"Customer Tax Class","Impuesto al Cliente"
"Email Verification","Verificación de Correo"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","El correo electrónico no se ha verificado. Asegúrese que se ha ingresado la dirección correcta."
"Enable US address verification","Activar verificación de dirección en USA"
"Enable email verification","Activar verificación de correo"
"Enable foreign exchange rate","Activar tipo de cambio"
"Enable global address verification","Activar verificación de dirección global"
"Enable sales and use tax","Activar impuestos de ventas y usuario"
"Error Email Recipient","Destinatario de Correo de Error"
"Error Email Sender","Remitente de correo de error"
"Error Email Template","Plantilla de correo de error"
"Error address action","Acción en error de dirección"
"Foreign Exchange Rates","Tasas de Cambio"
"Global Address Verification","Verificación de dirección global"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Si el tipo es compuesto y el código postal pertenece a varios tipos impositivos, optar por cobrar la tasa impositiva mínima o máxima."
"Invalid email address","Correo Electrónico incorrecto"
"Maximum tax rate","Tasa máxima de impuestos"
"Minimum tax rate","tasa mínima de impuestos"
"Password","Contraseña"
"Pop up warning and accept","Pop up advertencia y aceptar"
"Product Tax Class","Clase de impuesto de producto"
"Reject","Rechazar"
"Sales and Use Tax","Impuesto de Ventas y Usuario"
"Sales and Use Tax Type","Tipo de Impuesto de Ventas y Usuario"
"Strikeiron","Strikeiron"
"Strikeiron Config","Configuración Strikeiron"
"Strikeiron Section","Sección Strikeiron"
"Strikeiron foreign exchange rate is disabled","Tipo de Cambio Strikeiron está desactivado"
"Tax","Impuesto"
"There is an error in retrieving tax rate. Please contact us","Hay un error en la recuperación del tipo impositivo. Póngase en contacto con nosotros"
"There is an error in verifying an email. Please contact us.","Hay un error en la verificación de su correo electrónico. Póngase en contacto con nosotros."
"There is no more hits remaining for the foreign Exchange Rate Service.","No hay más visitas para el resto del Servicio de tipo de cambio"
"There is no response back from Strikeiron server","No hay respuesta desde el Servidor Strikeiron"
"US Address Verification","Verificación de dirección en USA"
"Undetermined email action","Accion de correo indeterminada"
"Use","Usar"
"User ID","ID de Usuario"
"Verify address in admin","Verificar dirección en admin"
"Verify email in admin","Verificar correo electrónico en admin"
