"(eg: domain.com/identifier)","(ej: domain.com/identificador)"
"Action","Acción"
"Add New Block","Añadir Nuevo Bloque"
"Add New Page","Añadir Nueva Página"
"All countries","Todos los Paises"
"Block Information","Información de Bloque"
"Block Title","Titulo de Bloque"
"Block was successfully deleted","Bloque se ha eliminado correctamente"
"Block was successfully saved","Bloque se ha guardado correctamente"
"CMS","CMS"
"CMS Home Page","CMS Página de Inicio"
"CMS No Route Page","CMS No rutea a Página"
"Content","Contenido"
"Custom Design","Diseño Personalizado"
"Custom Theme","Tema Personalizado"
"Custom Theme From","Tema Personalizado desde"
"Custom Theme To","Tema Personalizado a"
"Customer Tax Class Information","Información de Impuesto Clase Cliente"
"Date Created","Fecha de Creación"
"Delete Block","Eliminar Bloque"
"Delete Page","Eliminar Página"
"Description","Descripción"
"Disabled","Desactivado"
"Edit Block","Editar Bloque"
"Edit Block '%s'","Editar Bloque '%s'"
"Edit Page","Editar Página"
"Edit Page '%s'","Editar Página '%s'"
"Enabled","Activo"
"General Information","Información General"
"Go to Home Page","Ir al Inicio"
"Home","Inicio"
"Identifier","Identifier"
"Keywords","Keywords"
"Last Modified","Last Modified"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Manage Pages","Manage Pages"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"New Block","Nuevo Bloque"
"New Page","Nueva Página"
"Page Identifier cannot consist only of numbers.","Identificador de página no puede consistir sólo de números."
"Page Identifier for specified store already exist.","Identificador de página para el almacén especificado ya existe."
"Page Information","Información de Página"
"Page Status","Estado de Página"
"Page Title","Titulo de Página"
"Page was successfully deleted","Página se ha eliminado correctamente"
"Page was successfully saved","Página se ha guardado correctamente"
"Poll Manager","Administrado de Encuenta"
"Product Tax Class Information","Información del Producto Clase de Impuesto"
"SEF URL Identifier","Identificador SEF URL"
"Save Block","Guardar Bloque"
"Save Page","Guardar Página"
"Show breadcrumbs for CMS pages","Mostrar migas de pan para las páginas CMS"
"Static Blocks","Bloques Estaticos"
"Status","Estado"
"Store View","Vista de Tienda"
"Such a block identifier in selected store already exist.","Dicho identificador de bloque en la tienda seleccionada ya existe."
"The page you are trying to save no longer exists","La página que estás tratando de guardar ya no existe"
"This block no longer exists","Esta bloque ya no existe"
"This page no longer exists","Esta página ya no existe"
"Title","Titulo"
"Unable to find a block to delete","No se puede encontrar un bloque para eliminar"
"Unable to find a page to delete","No se puede encontrar una página para eliminar"
