"Account login","Usuario de Cuenta"
"Account password","Contraseña de la Cuenta"
"Active","Activa"
"Add Attribute Mapping","Añadir atributo de mapeo"
"Add New Attribute","Añadir nueevo atributo"
"Add to Google Base","Añadir a Google Base"
"Are you sure?","¿Está seguro?"
"Attribute","Atributo"
"Attribute Set","Configurar Atributo"
"Attribute Set and Item Type","Configuración de Atributo y Tipo de Item"
"Attributes","Atributos"
"Attributes Set","Configuración de Atributos"
"Attributes mapping","Mapeo de Atributos"
"AuthSub","AuthSub"
"Available Products","Productos Disponibles"
"British Pound Sterling","British Pound Sterling"
"Cannot update Google Base Item for Store '%s'","Cannot update Google Base Item for Store '%s'"
"Captcha confirmation error: %s","Error de Confirmación Captcha: %s"
"Captcha confirmed successfully","Captcha Confirmado correctamente"
"Clicks","Clics"
"ClientLogin","IngresoCliente"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","El mapeo actual se recargará. ¿Continuar?"
"Custom attribute, no mapping","Atributos personalizados, sin mapeo"
"Default Store (%s)","tienda por Defecto (%s)"
"Delete","Borrar"
"Delete Mapping","Borrar Mapeo"
"Edit Item Type","Editar Tipo de Item"
"Edit Item Type ""%s""","Editar Tipo de Item ""%s"""
"Error: %s","Error: %s"
"Euro","Euro"
"Expires","Vencimineto"
"Germany","Alemania"
"Google Base","Google Base"
"Google Base Attribute","Atributo Google Base"
"Google Base ID","ID Google Base"
"Google Base Item Type","Tipo de Item Google Base"
"Google Base Item type","Tipo de Item Google Base"
"Google Base Items","Items Google Base"
"Hide","Ocultar"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modelo de Producto incorrecto para Item Google Base"
"Item Type was deleted","Tipo de Item borrado"
"Item Types","Tipos de Item"
"Item model is not specified to delete Google Base entry","Modelo de Item no especificado para borrar entrada Google Base"
"Item type was successfully saved","Tipo de Item grabado correctamente"
"Items","Items"
"Manage Attribute Mapping","Gestionar Mapeo de Atributos"
"Manage Attributes","Gestionar Atributos"
"Manage Items","Gestionar Items"
"New Item Type","Nuevo Tipo de Item"
"No","No"
"No items were deleted from Google Base","No se borraron items de Google Base"
"No items were published","No hay items publicados"
"No items were saved as Inactive items","No hay items guuardados como inactivos"
"No products were added to Google Base","No hay productos agregados a Google Base"
"Object model is not specified to save Google Base entry","No se especificó modelo de objeto para grabarlo como entrada Google Base"
"Page views","Páginas vistas"
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, elija el conjunto de atributos y el Tipo de Elemento Google para cargar atributos"
"Product Name","Nombre de Producto"
"Publish","Publicado"
"Published","Publicado"
"Remove","Retirado"
"Save Mapping","Grabar Mapeo"
"Synchronize","Sincronizar"
"Target Country","País Destino"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta acción actualiza las estadísticas del item y retira los items que no están disponibles en Google Base. ¿Continuar?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Total de %d items(s) borrados correctamente, Total de %d items(s) actualizados correctamente"
"Total of %d items(s) were successfully published","Total de %d items(s) publicados correctamente"
"Total of %d items(s) were successfully removed from Google Base","Total de %d items(s) retirados correctamente de Google Base"
"Total of %d items(s) were successfully saved as Inactive items","Total de %d items(s) grabsdos correctamente como inactivos"
"Total of %d product(s) were successfully added to Google Base","Total de %d product(s) añadidos correctamente a Google Base"
"US Dollar","US Dollar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","No se úede conectar a Google Base. Por favor, verifique las configuraiones de la cuenta."
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Update Google Base item when product is updated","Actualizar Item Google Base cuando se actualize el producto"
"View Available Products","Ver Productos Disponibles"
"View Item in Google Base","Ver Item en Google Base"
"Yes","Si"
