"Billing Information","Información de Facturación"
"Change Payment Method","Cambiar método de pago"
"Change Shipping Address","Cambiar dirección de despacho"
"Edit Shopping Cart","Editar carro de compras"
"Email","Correo Electrónico"
"Incl. Tax","Incl. Impuestos"
"Items in Your Shopping Cart","Artículos en su carro de compras"
"No shipping method required.","No se requiere método de despacho."
"PayPal Account","Cuenta PayPal"
"PayPal Email","Correo PayPal"
"Payment Method","Método de Pago"
"Place an Order","Hacer un Pedido"
"Please select a shipping method...","Por favor elija el método de despacho..."
"Price","Precio"
"Product Name","Nombre del Producto"
"Qty","Cantida"
"Review Order","Revisar Pedido"
"Shipping Address","Dirección de despacho"
"Shipping Information","Información de despacho"
"Shipping Method","Método de Despacho"
"Sorry, no quotes are available for this order at this time.","Lo sentimos, no hay cotizaciones para este pedido en este momento."
"Submitting order information...","Enviar información de pedido..."
"Subtotal","Subtotal"
"Update Shipping Method","Actualizar método de despacho"
"You will be redirected to PayPal website when you place an order.","Será redirigido al Sitio Web de PayPal cuando haga el pedido."
"You will be redirected to Paypal in a few seconds.","Será redirigido a Paypal en algunos segundos."
"Your billing address will be ignored and you will be redirected to PayPal website","Su dirección de facturación será ignorado y será redirigido al Sitio Web de PayPal"
