"* Required Fields","* Campos obligatorios"
"A new password was sent","Una nueva contraseña ha sido enviada"
"Account Dashboard","Account Dashboard"
"Account Information","Información de la cuenta"
"Account Sharing Options","Account Sharing Options"
"Account information was successfully saved","Información de la cuenta ha sido guardada correctamente."
"Action","Action"
"Add New Address","Añadir nueva dirección"
"Add New Customer","Add New Customer"
"Add New Customer Group","Add New Customer Group"
"Added From","Added From"
"Additional Address Entries","Añadir información de dirección"
"Address","Dirección"
"Address Book","Libreta de direcciones"
"Address Information","Información de dirección"
"Addresses","Direcciones"
"Admin","Admin"
"All","All"
"All Store Views","All Store Views"
"All countries","All countries"
"Always optional","Always optional"
"Amount","Amount"
"Approved","Approved"
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding of this address?"
"Are you sure you want to delete this address?","¿Seguro que quiere eliminar esta dirección?"
"Are you sure?","Are you sure?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","Assign a customer group"
"Average Sale","Average Sale"
"Back","Atrás"
"Back to Login","Volver a Identificarse"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Información de facturación"
"Bought From","Bought From"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"CSV","CSV"
"Can't save address","Can't save address"
"Can't save customer","Can't save customer"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Cancel"
"Change Account Password","Cambiar contraseña de la cuenta"
"Change Billing Address","Cambiar dirección de facturación"
"Change Password","Cambiar contraseña"
"Change Shipping Address","Cambiar dirección de envío"
"City","Ciudad"
"Company","Compañía"
"Config","Config"
"Confirm New Password","Confirmar nueva contraseña"
"Confirm Password","Confirmar contraseña"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Información de contacto"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Create"
"Create New Account Options","Create New Account Options"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Create Order","Create Order"
"Create an Account","Crear una Cuenta"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Contraseña actual"
"Customer","Customer"
"Customer Addresses","Customer Addresses"
"Customer Api","Customer Api"
"Customer Configuration","Customer Configuration"
"Customer Group","Grupo de clientes"
"Customer Group was successfully deleted","Customer Group was successfully deleted"
"Customer Group was successfully saved","Customer Group was successfully saved"
"Customer Groups","Customer Groups"
"Customer Information","Customer Information"
"Customer Login","Customer Login"
"Customer Since","Customer Since"
"Customer View","Customer View"
"Customer collection expected","Customer collection expected"
"Customer doesn't have primary billing address","Customer doesn't have primary billing address"
"Customer email already exists","Correo de cliente ya existe"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Customers"
"Customers Only","Customers Only"
"Customers Section","Customers Section"
"DD","DD"
"Date","Fecha"
"Date Added","Date Added"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Days in Wishlist"
"Default Addresses","Direcciones por defecto"
"Default Billing Address","Dirección de facturación"
"Default Email Domain","Default Email Domain"
"Default Group","Default Group"
"Default Shipping Address","Dirección de envío por defecto"
"Default Welcome Email","Default Welcome Email"
"Delete","Delete"
"Delete Address","Eliminar dirección"
"Delete Customer","Delete Customer"
"Delete Customer Group","Delete Customer Group"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Deleted Stores"
"Details","Detalles"
"Disabled","Disabled"
"Edit","Edit"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Editar información de la cuenta"
"Edit Address","Editar dirección"
"Edit Address Entry","Editar dirección"
"Edit Customer Group ""%s""","Edit Customer Group ""%s"""
"Edit Customer Groups","Edit Customer Groups"
"Edit Customer's Address","Edit Customer's Address"
"Edit Group","Edit Group"
"Edit Newsletter Subscription","Editar la suscripción al Boletín"
"Edit Newsletters","Editar Boletines"
"Edit Personal Information","Editar información personal"
"Email","Correo Electrónico"
"Email Address","Dirección de correo"
"Email Sender","Email Sender"
"Entity collection is expected","Entity collection is expected"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Ext. Price","Precio Ext."
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fax"
"First Name","Nombre"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Forgot Email Sender"
"Forgot Email Template","Forgot Email Template"
"Forgot Your Password?","¿Olvidó su contraseña?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"General Subscription","Suscripción general"
"Global","Global"
"Go to Address Book","Ir a Libreta de Direcciones"
"Grand Total","Grand Total"
"Grand Total: %s","Total: <strong>%s</strong>"
"Group","Group"
"Group ""%s"" can not be deleted","Group ""%s"" can not be deleted"
"Group Information","Group Information"
"Group Name","Group Name"
"Guest","Guest"
"HTML","HTML"
"Hello, %s!","Hello, %s!"
"ID","ID"
"IP Address","IP Address"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid current password","Contraseña actual incorrecta"
"Invalid customer data","Invalid customer data"
"Invalid email address","Invalid email address"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Invalid login or password."
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Items Order","Orden de artículos"
"Last 5 Orders","Últimos 5 pedidos"
"Last Activity","Last Activity"
"Last Name","Apellido"
"Last Url","Last Url"
"Last Viewed Items","Últimos artículos revisados"
"Last date subscribed","Last date subscribed"
"Last date unsubscribed","Last date unsubscribed"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Lifetime Sales"
"Log In","Log In"
"Log Out","Log Out"
"Log in or Create an Account","Log in or Create an Account"
"Login","Ingresar"
"Login Information","Información de ingreso"
"Login and password are required","Login and password are required"
"Login or Create an Account","Ingresar o crear una cuenta"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Organizar direcciones"
"Manage Customers","Manage Customers"
"Missing email, skipping the record","Missing email, skipping the record"
"Missing firstname, skipping the record","Missing firstname, skipping the record"
"Missing lastname, skipping the record","Missing lastname, skipping the record"
"Month","Month"
"My Account","Mi Cuenta"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","My Dashboard"
"My Orders","Mis pedidos"
"My Reviews","Mis Revisiones"
"My Tags","Mis etiquetas"
"My Wishlist","Mi Listado"
"Name","Name"
"Name and Address Options","Name and Address Options"
"Never","Never"
"New Address","Nueva dirección"
"New Address Entry","Nueva dirección"
"New Customer","New Customer"
"New Customer Address","New Customer Address"
"New Customer Group","New Customer Group"
"New Customer Groups","New Customer Groups"
"New Customers","Nuevo cliente"
"New Group","New Group"
"New Password","Nueva contraseña"
"New account","New account"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"Newsletter","Boletín"
"Newsletter Finish","Newsletter Finish"
"Newsletter Information","Newsletter Information"
"Newsletter Received","Newsletter Received"
"Newsletter Start","Newsletter Start"
"Newsletter Subscription","Newsletter Subscription"
"Newsletters","Boletines"
"No Items Found","No Items Found"
"No Newsletter Found","No Newsletter Found"
"No item specified.","No item specified."
"No product collections found","No product collections found"
"Not Sent","Not Sent"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Offline"
"Online","Online"
"Online Customers","Online Customers"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Pedido #"
"Order #%s (%s)","Pedido #%s (%s)"
"Order List...","Listado de pedido..."
"Order Total","Order Total"
"Orders","Orders"
"PDF","PDF"
"Password","Contraseña"
"Password Management","Password Management"
"Password Options","Password Options"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Password must have at least 6 characters. Leading or trailing spaces will be ignored."
"Paused","Paused"
"Payment Method","Método de Pago"
"Pending","Pending"
"Per Website","Per Website"
"Personal Information","Información personal"
"Please enter your email below and we'll send you a new password.","Por favor introduzca su email y le enviaremos una nueva contraseña."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Please enter your email."
"Please make sure your passwords match.","Please make sure your passwords match."
"Please select","Please select"
"Please select region, state or province","Please select region, state or province"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","Precio"
"Primary Billing Address","Dirección Primaria de Facturación"
"Primary Shipping Address","Dirección primaria de envío"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Product","Producto"
"Product ID","Product ID"
"Product Name","Product Name"
"Product Reviews","Product Reviews"
"Product Tags","Product Tags"
"Product name","Product name"
"Purchase On","Purchase On"
"Purchased at","Purchased at"
"Qty","Cant."
"Recent Orders","Recent Orders"
"Records for ""","Records for """
"Refunded","Refunded"
"Registered Customers","Clientes registrados"
"Remove","Eliminar"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
