"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s var bætt á óskalistann hjá þér. Smelltu <a href=%2$s"">hér</a> til að halda áfram að versla"""
"%s's Wishlist","%s's Óskalisti"
"* Required Fields","* Skilyrð svæði"
"Add All to Cart","Setja allt í körfu"
"Add to Cart","Setja í körfu"
"Add to Wishlist","Setja á óskalistann"
"Added On","Bætt á þann"
"Are You sure?","Ertu viss?"
"Are you sure you want to remove this product from your wishlist?","Ertu viss um að þú viljir fjarlægja þessa vöru frá óskalistanum?"
"Are you sure you would like to remove this item from the wishlist?","Ertu viss um að þú viljir fjarlægja þessa vöru frá óskalistanum?"
"Back","Til baka"
"Can't save description %s","Get ekki vistað lýsinguna %s"
"Cannot create wishlist","Get ekki búið til óskalista"
"Cannot specify product","Get ekki skilgreint vöru"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Hakaðu hér ef þú vilt bæta við rss hlekk í óskalistann þinn"
"Comment","Skilaboð"
"Email Sender","Netfang sendanda"
"Email Template","Póstskapalón"
"Email address can't be empty.","Netfang getur ekki verið tómt"
"Email addresses, separated by commas","Netföng, aðgreind með kommu"
"Enabled","Virkja"
"General Options","General Options"
"Go to Wishlist","Fara í óskalistann"
"Last Added Items","Seinasta vara sem bætt var við"
"Message","Skilaboð"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Óskalistinn minn (%d vara)"
"My Wishlist (%d items)","Óskalistinn minn (%d vörur)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Vinsamlega sláið inn lögleg netföng, aðgreind með kommu. Til dæmis johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Vinsamlega sláðu inn athugasemdir"
"Product","Vara"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS hlekkur í %s's óskalisti"
"Remove Item","Fjarlægja vöru"
"Share Wishlist","Deila óskalista"
"Share Your Wishlist","Deildu óskalistanum"
"Share options","Deili stillingar"
"Sharing Information","Deili upplýsingar"
"There was an error while adding item to wishlist.","Villa kom upp við að bæta vöru við óskalistann"
"There was an error while adding item to wishlist: %s","Villa kom upp við að bæta vöru við óskalistann: %s"
"There was an error while deleting item from wishlist.","Villa kom upp við að eyða vöru af óskalistanum"
"There was an error while deleting item from wishlist: %s","Villa kom upp við að eyða vöru af óskalistanum: %s"
"This product(s) is currently out of stock:","Þessi vara er ekki til á lager:"
"Update Wishlist","Uppfæra óskalistann"
"View Product","Sjá vöru"
"Wishlist","Óskalisti"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Deiling óskalistans"
"Wishlist is empty now.","Óskalistinn er núna tómur"
"You have no items in your wishlist.","Þú hefur engar vörur á óskalistanum."
"You input not valid email address.","Þú slóst inn ólöglegt netfang."
"Your Wishlist was successfully shared","Óskalistanum þínum hefur verið deilt"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","Óskalistinn minn - <a href=""%s"">%d Vara/Vörur</a>"
"My Wishlist","Óskalistinn minn"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
