"-- Please Select --","-- Моля изберете --"
"Account Registration","Регистрация на профил"
"All fields of script types have to be filled.","Всички полета за тип на скрипт трябва да са попълнени."
"Attributes","Атрибути"
"Category View Optimization","Оптимизация на преглед на категория"
"Control Script","Контролен скрипт"
"Conversion Page","Страница за конверсия"
"Conversion Page URL","URL за страница за конверсия"
"Conversion Script","Скрипт за конверсия"
"Enable","Активирай"
"Google Optimizer Scripts","Гугъл Optimizer скриптове"
"Google Website Optimizer","Гугъл Уебсайт Optimizer"
"Install Scripts","Инсталирай скриптове"
"Limit is 8 attributes only.","Limit is 8 attributes only."
"Multi Address Checkout","Раплащане за множество адреси"
"One Page Checkout","Разплащане на една страница"
"Order Success (Multi Address Checkout)","Успешна поръчка (Раплащане за множество адреси)"
"Order Success (One Page Checkout)","Успешна поръчка (Разплащане на една страница)"
"Original Page","Първоначална страница"
"Other","Други"
"Page Type","Тип страница"
"Page View Optimization","Оптимизация за преглед на страница"
"Please copy and paste this value to experiment edit form","Моля копирайте тази стойност във формата за редакция"
"Please select store view to see the URL","Моля изберете изглед на магазин за да видите URL адресът"
"Product View Optimization","Оптимизация за преглед на продукт"
"Scripts Install URL","Инсталационен адрес на скриптове"
"Shopping Cart","Количка"
"Tracking Script","Скрипт за проследяване"
"Use Default","Използвай по подразбиране"
"Use Default Values","Използвай стойности по подразбиране"
"Variant Page","Вариант на страница"
