"--Please Select--","--Моля изберете--"
"<label>Make Check payable to:</label> %s","<label>Направи Чек платим на:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Направете чека платим на</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Не може да прочете конфигурацията за метод на плащане код: %s"
"Can not retrieve payment info model object.","Не може да прочете payment info model object."
"Can not retrieve payment method instance","Не може да прочете payment method instance"
"Can not retrieve payment method model object.","Не може да прочете payment method model object."
"Card Verification Number","Верификационен номер на карта"
"Check / Money order","Чек / кеш"
"Credit Card Number","Номер на кредитна карта"
"Credit Card Number: %s","Кредитна карта номер: %s"
"Credit Card Number: xxxx-%s","Номер на кредитна карта: xxxx-%s"
"Credit Card Type","Вид на кредитна карта"
"Credit Card Type: %s","Вид на кредитна карта: %s"
"Credit Card Types","Видове кредитна карта"
"Credit Card Verification","Верификация на кредитната карта"
"Enabled","Активно"
"Expiration Date","Дата на изтичане"
"Expiration Date: %s/%s","Дата на изтичане: %s/%s"
"Make Check payable to","Направете чека платим на"
"Make Check payable to: %s","Направи чек платим на: %s"
"Maximum Order Total","Максимална обща сума на поръчката"
"Minimum Order Total","Минимална обща сума на поръчката"
"Month","Месец"
"Name on Card","Име от карта"
"Name on the Card: %s","Име от картата: %s"
"New order status","Статус на новата поръчка"
"Payment Methods","Методи на плащане"
"Payment Methods Section","Секция методи на плащане"
"Payment from Specific countries","Плащане от специфични страни"
"Payment from applicable countries","Плащане от одобрени страни"
"Purchase Order Number","Номер на поръчка"
"Purchase Order Number: %s","Номер на поръчка: %s"
"Purchase order","Заявете поръчката"
"Saved CC","Записана CC"
"Send Check to","Изпрати чек на"
"Send Check to:","Изпрати чек на:"
"Sort order","Ред за сортиране"
"Title","Заглавие"
"What is this?","Какво е това?"
"Year","Година"
"Zero Subtotal Checkout","Разплащане при нулева междинна сума"
