"Actions","Действия"
"Are you sure?","Сигурен ли сте?"
"Date Added","Дата на добавяне"
"Error while marking as read. Please try again later.","Error while marking as read. Please try again later."
"Error while marking. Please try again later.","Error while marking. Please try again later."
"Error while removing. Please try again later.","Error while removing. Please try again later."
"Last update","Last update"
"Mark as Read","Маркирай като прочетено"
"Mark as read","Маркирай като прочетено"
"Message","Събщение"
"Message was successfully marked as read","Message was successfully marked as read"
"Message was successfully removed","Message was successfully removed"
"Messages Inbox","Входяща кутия на съобщения"
"Notifications","Известия"
"Please select messages","Please select messages"
"Read Details","Прочети още"
"Remove","Премахни"
"Severity","Важност"
"Show List","Покажи списък"
"Show Toolbar","Покажи лента с инструменти"
"Total of %d record(s) were successfully marked as read","Total of %d record(s) were successfully marked as read"
"Total of %d record(s) were successfully removed","Total of %d record(s) were successfully removed"
"Unable to proceed. Please, try again","Unable to proceed. Please, try again"
"Update frequency","Update frequency"
"Use HTTPS to get feed","Use HTTPS to get feed"
"critical","критично"
"major","важно"
"minor","маловажно"
"notice","известие"
