"%s already exist","%s вече съществува"
"%s already exists","%s вече съществува"
"-- Please Select --","-- Моля изберете --"
"Add Block Names to Hints","Добави имена на блокове към подсказка"
"Add Secret Key to URLs","Добави таен ключ към URL"
"Add Store Code to Urls","Добави код на магазин към Url"
"Admin","Админ"
"Admin Base URL","Базово URL за администрация"
"Admin User Emails","Административни потребителски имейли"
"Advanced","Разширено"
"Allow countries","Разреши страни"
"Allowed IPs (comma separated)","Позволени IP адреси (с разделител запетайка)"
"Are you sure?","Сигурен ли сте?"
"Back","Обратно"
"Backup options","Backup options"
"Base JavaScript URL","Базово ULR за JavaScript"
"Base Link URL","Вазово URL за линк"
"Base Media URL","Вазово URL за медия"
"Base Skin URL","Вазово URL за скин"
"Base URL","Вазово URL"
"Before modifying the store view code please make sure that it is not used in index.php","Преди да модифицирате сорс кода на магазина, моля уверете се, че не е използван в index.php"
"Before modifying the website code please make sure that it is not used in index.php","Преди да модифицирате сорс кода на уебсайта, моля уверете се, че не е използван в index.php"
"Block with name ""%s"" already exists","Блок с име ""%s"" вече съществува"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","Невъзможно е извличането на обект за заявка"
"Can't retrieve entity config: %s","Не може да се изтегли съществуващ конфиг: %s"
"Cancel","Отказ"
"Cannot Delete Email Template","Не може да се изтрие Емайл Шаблони"
"Cannot complete this operation from non-admin area.","Тази операция не може да бъде завършена извън адмнистративния панел."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","Код"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Файлът за контролер беше зареден, но класът не съществува"
"Cookie Domain","Домейн за Cookie"
"Cookie Lifetime","Период на валидност на Cookie"
"Cookie Path","Път за Cookie"
"Copyright","Авторско право"
"Countries options","Опции за страните"
"Create Store","Създай магазин"
"Create Store View","Създай изглед на магазин"
"Create Website","Създай уебсайт"
"Current package name","Име на текущ пакет"
"Custom Design","Дизайн по избор"
"Custom admin URL","Custom admin URL"
"Custom email 1","Персонализиран имейл 1"
"Custom email 2","Персонализиран имейл 2"
"Customer support","Поддръжка на клиенти"
