"%s is not correct comparsion method.","%s не е коректен метод за сравнение."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Позволи количества под 0"
"Allow Qty Below 0 and Notify Customer","Позволи количества под 0 и уведоми клиента"
"Backorders","Върнати поръчки"
"By Fixed value","По фиксирана стойност"
"By Percentage","По процент"
"Can not specify product identifier for order item","Не може да се определи продуктов идентификатор за поръчване на артикула"
"Catalog Inventory","Каталожен Инвентар"
"Decrease Stock When Order is Placed","Намали налични количества при поръчка"
"In Stock","В наличност"
"Inventory","Инвентар"
"Inventory API","Инвентар API"
"Inventory Section","Сектор Инвентар"
"Manage Stock","Управление Налични количества"
"Maximum Qty Allowed in Shopping Cart","Максимално количество, разрешено в количката"
"Minimum Qty Allowed in Shopping Cart","Минимално количество, разрешено в количката"
"No Backorders","Без върнати поръчки"
"Notify for Quantity Below","Извести за количества под"
"Out of Stock","Не е в наличност"
"Product Stock Options","Опции за наличност на продукта"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Извличане на данни за налични количества"
"Retrieve stock data by product ids","Извличане на данни за налични количества по ID на продукти"
"Rule price","Цена според Правило"
"Set Items' Status to be In Stock When Order is Cancelled","Статус налични количества на артикулите да се промени на В наличност при анулиране на поръчка"
"Some of the products are currently out of stock","Някои от продуктите не са в наличност"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Опции за налични количества"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","Максимално позволеното за покупка количество е %s."
"The minimum quantity allowed for purchase is %s.","Минимално позволеното за покупка количество е %s."
"The requested quantity for ""%s"" is not available.","Заявеното количество ""%s"" е неналично."
"The requested quantity is not available.","Заявеното количество е неналично."
"This product is currently out of stock.","В момента, този продукт не е в наличност."
"To Fixed Value","Към фиксирана стойност"
"To Percentage","Към процент"
"Update","Обнови"
"Update product stock data","Обнови Налични количества на продукта"
"Update the Product","Обнови продукта"
