"* Required Fields","* Задължителни полета"
"A new password was sent","Новата парола беше изпратена"
"Account Dashboard","Профил табло"
"Account Information","Информация за профил"
"Account Sharing Options","Опции за споделяне"
"Account information was successfully saved","Информацията за акаунта беше успешно записана"
"Action","Действие"
"Add New Address","Добави нов адрес"
"Add New Customer","Добави нов клиент"
"Add New Customer Group","Добави нова клиентска група"
"Added From","Добавена форма"
"Additional Address Entries","Допълнителни адресни данни"
"Address","Адрес"
"Address Book","Адресна книга"
"Address Information","Адресна информация"
"Addresses","Адреси"
"Admin","Админ"
"All","Всичко"
"All Store Views","Всички изгледи за магазин"
"All countries","Всички държави"
"Always optional","Always optional"
"Amount","Количество"
"Approved","Одобрен"
"Are you sure that you want to remove this item?","Сигурен ли сте, че искате да премахнете този артикул?"
"Are you sure you want to cancel adding of this address?","Сигурен ли сте, че искате да откажете добавянето на този адрес?"
"Are you sure you want to delete this address?","Сигурен ли сте, че искате да изтриете този адрес?"
"Are you sure?","Сигурен ли сте?"
"Array of Entity collections is expected","Очаква се масив на колекциите"
"Assign a customer group","Възложете клиентска група"
"Average Sale","Средна продажба"
"Back","Назад"
"Back to Login","Назад към Вход"
"Bad request.","Невалидна заявка."
"Bill to Name","Име на платеца"
"Billing Information","Информация за плащането"
"Bought From","Закупено от"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Чрез създаване на профил в нашия магазин, ще имате достъп до ускорен процес за потвърждаване на поръчките, ще можете да съхранявате множество адреси за доставка, да преглеждате и проследявате заявки и много други."
"CSV","CSV"
"Can't save address","Не може да се запази адрес"
"Can't save customer","Не може да се запази клиент"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Отказ"
"Change Account Password","Промени паролата на профил"
"Change Billing Address","Промени адреса на разплащане"
"Change Password","Промени парола"
"Change Shipping Address","Промени адреса на доствка"
"City","Населено място"
"Company","Фирма/Компания"
"Config","Конфигурация"
"Confirm New Password","Потвърди нова парола"
"Confirm Password","Потвърди парола"
"Confirmation Link Email","Имейл с линк за потвърждение"
"Confirmed","Потвърдено"
"Contact Information","Данни за контакт"
"Continue Shopping","Продъжи покупките"
"Country","Държава"
"Create","Създай"
"Create New Account Options","Създай опции за нов профил"
"Create New Customer Account","Създай нов клиентски профил"
"Create Order","Създай поръчка"
"Create an Account","Създай профил"
"Create customer","Създай клиент"
"Create customer address","Създай клиентски адрес"
"Current Password","Текуща парола"
"Customer","Клиент"
"Customer Addresses","Клиентски адрес"
"Customer Api","Клиентско Api"
"Customer Configuration","Конфигурация (Клиенти)"
"Customer Group","Клиентска група"
"Customer Group was successfully deleted","Потребителската група беше успешно изтрита"
"Customer Group was successfully saved","Потребителска група беше успешно записана"
"Customer Groups","Клиентски групи"
"Customer Information","Информация за клиент"
"Customer Login","Вход клиенти"
"Customer Since","Клиент от"
"Customer View","Клиентски изглед"
"Customer collection expected","Очаква се Потребителска колекция"
"Customer doesn't have primary billing address","Клиентът няма основен адрес за фактуриране"
"Customer email already exists","Потребител с такъв имейл вече съществува"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Клиенти"
"Customers Only","Само за клиенти"
"Customers Section","Секция Клиенти"
"DD","ДД"
"Date","Дата"
"Date Added","Дата на добавяне"
"Date of Birth","Дата на раждане"
"Date of Birth is required.","Date of Birth is required."
"Day","Ден"
"Days in Wishlist","Дни в списък с желания"
"Default Addresses","Адреси по подразбиране"
"Default Billing Address","Адрес за разплащания по подразбиране"
"Default Email Domain","Имейл домейн по подразбиране"
"Default Group","Група по подразбиране"
"Default Shipping Address","Адрес за доставка по подразбиране"
"Default Welcome Email","Имейл за Добре дошли по подразбиране"
"Delete","Изтрий"
"Delete Address","Изтрий адрес"
"Delete Customer","Изтрий клиент"
"Delete Customer Group","Изтрий клиентска група"
"Delete customer","Изтрий клиент"
"Delete customer address","Изтрий клиентски адрес"
"Deleted Stores","Изтрити магазини"
"Details","Детайли"
"Disabled","Неактивно"
"Edit","Редактирай"
"Edit Account Info","Редактирай данни на профил"
"Edit Account Information","Редактирай информация на профил"
"Edit Address","Редактирай адрес"
"Edit Address Entry","Редактирай адрес"
"Edit Customer Group ""%s""","Редакция на клиентска група ""%s"""
"Edit Customer Groups","Редактирай клиентски групи"
"Edit Customer's Address","Редактирай клиентски адрес"
"Edit Group","Редактирай група"
"Edit Newsletter Subscription","Редактиране на абонамент за бюлетин"
"Edit Newsletters","Редактирай бюлетини"
"Edit Personal Information","Редактиране на персонална информация"
"Email","Имейл"
"Email Address","Имейл адрес"
"Email Sender","Имейл подател"
"Entity collection is expected","Очаква се обект на колекцията"
"Error during retrieval of option value: %s","Грешка при изтегляне на опция със стойност: %s"
"Ext. Price","Цена за всички"
"Failed to confirm customer account.","Неуспешна валидация на потребителски профил."
"Fax","Факс"
"First Name","Име"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Подател на Имейл за забравена парола"
"Forgot Email Template","Шаблон за Имейл за забравена парола"
"Forgot Your Password?","Забравена парола?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","От Профил таблото може да прегледате вашата текуща активност и да редактирате профила си. Изберете някой от линковете, за да прегледате и/или редактирате текущата информация."
"General Subscription","Основен абонамент"
"Global","Глобално"
"Go to Address Book","Отидете в адресната книга"
"Grand Total","Общо"
"Grand Total: %s","Общо: %s"
"Group","Група"
"Group ""%s"" can not be deleted","Група ""%s"" не може да бъде изтрита"
"Group Information","Информация за група"
"Group Name","Име на група"
"Guest","Гост"
"HTML","HTML"
"Hello, %s!","Здравейте, %s!"
"ID","ID"
"IP Address","IP Адрес"
"If you have an account with us, please log in.","Ако вече имате създаден профил, моля влезте в системата."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Указана е невалидна опция за атрибут %s  (%s), пропускане на записа"
"Invalid attribute set specified, skipping the record","Указана е невалидна група атрибути, пропускане на записа"
"Invalid current password","Невалидна текуща парола"
"Invalid customer data","Невалидни клиентски данни"
"Invalid email address","Невалиден имейл адрес"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Невалидни име за вход и/или парола."
"Invalid option id specified for %s (%s), skipping the record","Указан е невалиден номер на опция за %s (%s), пропускане на записа"
"Invalid store specified, skipping the record","Указан е невалиден магазин, пропускане на записа"
"Items Order","Поръчай артикул"
"Last 5 Orders","Последните 5 Поръчки"
"Last Activity","Последна активност"
"Last Name","Фамилия"
"Last Url","Последно Url"
"Last Viewed Items","Последно видян Точки"
"Last date subscribed","Последна дата записания"
"Last date unsubscribed","Последна дата отписахте"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Празно за използване на стойност по подразбиране (15 минути)."
"Leave empty for default (2). Valid range: 1-4","Празно за използване на стойност по подразбиране (2).<br />Валиден обхват: 1-4"
"Lifetime Sales","Всички продажби"
"Log In","Вход"
"Log Out","Изход"
"Log in or Create an Account","Log in or Create an Account"
"Login","Вход"
"Login Information","Информация за вход"
"Login and password are required","Потребителско име и парола са задължителни"
"Login or Create an Account","Вход или Създаване на нов профил"
"M.I.","M.I."
"MM","ММ"
"Manage Addresses","Управление на адреси"
"Manage Customers","Управление на клиенти"
"Missing email, skipping the record","Липсващ имейл. Игнорирано."
"Missing firstname, skipping the record","Липсващо име. Игнорирано."
"Missing lastname, skipping the record","Липсваща фамилия. Игнорирано."
"Month","Месец"
"My Account","Моят профил"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","Моето табло"
"My Orders","Моите поръчки"
"My Reviews","Моите отзиви"
"My Tags","Моите тагове"
"My Wishlist","Моят списък с желания"
"Name","Име"
"Name and Address Options","Опции за име и адрес"
"Never","Никога"
"New Address","Нов адрес"
"New Address Entry","Нов адрес"
"New Customer","Нов клиент"
"New Customer Address","Нов клиентски адрес"
"New Customer Group","Нова клиентска група"
"New Customer Groups","Нови клиентски групи"
"New Customers","Нови клиенти"
"New Group","Нова група"
"New Password","Нова парола"
"New account","Нов профил"
"New account confirmation key","Нов ключ за потвърждение на профил"
"New account confirmed","Нов профил – потвърден"
"New password","Нова парола"
"Newsletter","Бюлетин"
"Newsletter Finish","Край на бюлетин"
"Newsletter Information","Информация за бюлетин"
"Newsletter Received","Бюлетин – получен"
"Newsletter Start","Начало на бюлетин"
"Newsletter Subscription","Абонамент за бюлетин"
"Newsletters","Бюлетини"
"No Items Found","Няма намерени артикули"
"No Newsletter Found","Няма намерени бюлетини"
"No item specified.","Не е посочен артикул."
"No product collections found","Никой продукт колекции намерени"
"Not Sent","Не е изпратено"
"Not confirmed, can login","Непотвърдено, вход позволен"
"Not confirmed, cannot login","Непотвърдено, вход забранен"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Офлайн"
"Online","Онлайн"
"Online Customers","Онлайн Клиенти"
"Online Customers Options","Онлайн опции"
"Online Minutes Interval","Онлайн интервал (в минути)"
"Order #","Поръчка #"
"Order #%s (%s)","Поръчка #%s (%s)"
"Order List...","Поръчай Списък ..."
"Order Total","Общо за поръчка"
"Orders","Поръчки"
"PDF","PDF"
"Password","Парола"
"Password Management","Управление пароли"
"Password Options","Опции за пароли"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Забравена парола"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Парола, трябва да имат най-малко 6 символа. Водещи или плаващи пространства ще бъдат игнорирани."
"Paused","На пауза"
"Payment Method","Начин на плащане"
"Pending","За одобрение"
