"(eg: domain.com/identifier)","(напр: domain.com/identifier)"
"Action","Действие"
"Add New Block","Добави нов блок"
"Add New Page","Добави нова страница"
"All countries","Всички страни"
"Block Information","Информация за блока"
"Block Title","Заглавие на блока"
"Block was successfully deleted","Блокът беше успешно изтрит"
"Block was successfully saved","Блокът беше успешно записан"
"CMS","CMS"
"CMS Home Page","CMS Начална страница"
"CMS No Route Page","CMS страница без маршрут"
"Content","Съдържание"
"Custom Design","Дизайн по избор"
"Custom Theme","Тема по избор"
"Custom Theme From","Персонализирана Тема От"
"Custom Theme To","Персонализирана тема за"
"Customer Tax Class Information","Информация за клиентски данъчен клас"
"Date Created","Дата на създаване"
"Delete Block","Изтрий блок"
"Delete Page","Изтрий страница"
"Description","Описание"
"Disabled","Неактивно"
"Edit Block","Редактирай блок"
"Edit Block '%s'","Редакция на блок '%s'"
"Edit Page","Редактирай страница"
"Edit Page '%s'","Редакция на страница '%s'"
"Enabled","Активно"
"General Information","Основна информация"
"Go to Home Page","Към начална страница"
"Home","Начало"
"Identifier","Идентификатор"
"Keywords","Ключови думи"
"Last Modified","Последно променено"
"Layout","Оформление"
"Layout Update XML","XML за обновяване на оформлението"
"Manage Pages","Управление на страници"
"Meta Data","Мета данни"
"Meta Description","Мета описание"
"Meta Keywords","Мета ключови думи"
"New Block","Нов блок"
"New Page","Нова страница"
"Page Identifier cannot consist only of numbers.","Идентификаторът на страницата не може да се състои само от цифри."
"Page Identifier for specified store already exist.","Идентификаторът за този магазин вече съществува."
"Page Information","Информация за страница"
"Page Status","Статус на страница"
"Page Title","Заглавие на страница"
"Page was successfully deleted","Страницата беше успешно изтрита"
"Page was successfully saved","Страницата беше успешно записана"
"Poll Manager","Управление на анкетите"
"Product Tax Class Information","Информация за продуктови данъчни класове"
"SEF URL Identifier","SEF URL идентификатор"
"Save Block","Запиши блока"
"Save Page","Запиши страницата"
"Show breadcrumbs for CMS pages","Покажи детайлите за CMS страници"
"Static Blocks","Статични блокове"
"Status","Статус"
"Store View","Изглед на магазин"
"Such a block identifier in selected store already exist.","Този блоков идентификатор в избрания магазин вече съществува."
"The page you are trying to save no longer exists","Страницата, която се опитвате да запазите вече не съществува"
"This block no longer exists","Този блок вече не съществува"
"This page no longer exists","Тази страница вече не съществува"
"Title","Заглавие"
"Unable to find a block to delete","Невъзможно е да се намери блок за изтриване"
"Unable to find a page to delete","Невъзможно е да намерите на страница за изтриване"
