"Alert Email Sender","Подател на уведомяващ имел"
"Alert subscription was deleted successfully","Предупреждение абонаментът е изтрит успешно"
"Alert subscription was saved successfully","Предупреждение абонаментът е запазен успешно"
"Allow alert when product comes back in stock","Предупреждения когато продукта бъде доставен на склад"
"Allow alert when product price changes","Предупреждения при промяна на цената на продукта"
"Click here not to receive alerts for this product","Кликнете тук за да не получавате повече уведомяване за този продукт"
"Error Email Recipient","Получател на имейл за грешки"
"Error Email Sender","Подател на имейл за грешки"
"Error Email Template","Шаблон на имейл за грешки"
"Frequency","Честота"
"Not enough parameters","Недостатъчно параметри"
"Please try again later","Моля, опитайте по-късно"
"Price alert Email Template","Имейл шаблон за ценово предупреждение"
"Price:","Цена:"
"Product Alerts","Уведомявания за продукти"
"Product Alerts Run Settings","Настройки за стартиране на уведомявания за продукти"
"Product alerts Cron error","Cron грешки за уведомявания за продукт"
"Product not found","Не е намерен продукт"
"Product price alert","Уведомяване за цена на продукт"
"Product stock alert","Уведомяване за наличност на продукт"
"Sign up for price alert","Запишете се за уведомяване за цена"
"Sign up to get notified when this product is back in stock","Запишете се за уведомяване, когато този продукт е отново в наличност"
"Special price:","Специална цена:"
"Start Time","Време на започване"
"Stock alert Email Template","Имейл шаблон за складово предупреждение"
"Unsubscribe from all price alerts","Анулирай абонамента за всички уведомявания за цена"
"Unsubscribe from all stock alerts","Анулирай абонамента за всички уведомявания за наличност"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Получавате това съобщение, понеже сте се абонирали за получаване на увеодмление, когато следните продукти са отново в наличност:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Получавате това съобщение, понеже сте се абонирали за получаване на увеодмление, когато цените на следните продукти се променят:"
"You will no longer receive price alerts for this product","Вие повече няма да получавате ценови предупреждения за този продукт"
"You will no longer receive stock alerts","Вие повече няма да получавате складови предупреждения"
"You will no longer receive stock alerts for this product","Вие повече няма да получавате складови предупреждения за този продукт"
