"# of Use","# в употреба"
"%1$s incl tax.","%1$s вкл. данък"
"%s - %s","%s - %s"
"%s Item(s)","%s Продукт(а)"
"(Copy data from: %s)","(Копиране на данни от: %s)"
"(Will make search for the query above return results for this search.)","(Търсенето задължително ще върне резултат.)"
"* Required Fields","* Задължителни полета"
"-- Please Select --","-- Моля, изберете --"
"A name is required","Името е задължително"
"ALL GROUPS","ВСИЧКИ ГРУПИ"
"AM","AM"
"Action","Действие"
"Add Attribute","Добави атрибут"
"Add Design Change","Добави дизайн промяна"
"Add Group","Добави група"
"Add Items to Cart","Добавят продукти в кошницата"
"Add New","Добави нов"
"Add New Attribute","Добави нов атрибут"
"Add New Attribute Set","Добави нова група атрибути"
"Add New Group","Добави нова група"
"Add New Images","Добави нови изображения"
"Add New Option","Добави нова опция"
"Add New Row","Добави нов ред"
"Add New Search Term","Добави критерий на търсене"
"Add New Set","Добави нова група"
"Add Option","Добави опция"
"Add Product","Добави продукт"
"Add Product To Websites","Добави продукт към Уебсайтове"
"Add Root Category","Добави главна категория"
"Add Subcategory","Добави под-категория"
"Add Tax","Добави данък"
"Add Tier","Добави ниво"
"Add to Cart","Купи"
"Add to Compare","Добави за сравнение"
"Add to My Wishlist","Добави в Моят списък с желания"
"Add to Wishlist","Добави към списък с желания"
"Additional Information","Допълнителна информация"
"All","Всичко"
"All Product Types","Всички типове продукти"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Всички продукти от тази Продукт група ще бъдат изтрити! Сигурен ли сте, че искате да го изтриете?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Разрешени файлови разширения"
"Allowed file extensions to upload","Разрешени Файлови разширения за качване"
"Amount","Amount"
"Apply To","Приложи към"
"Apply To Configurable/Grouped Product","Приложи към Конфигурируем/Групиран Продукт"
"Approved","Одобрен"
"Are you sure you want to delete this category?","Сигурен ли сте, че искате да изтриете тази категория?"
"Are you sure you would like to remove all products from your comparison?","Сигурен ли сте, че искате да премахнете всички продукти от списъка за сравнение?"
"Are you sure you would like to remove this item from the compare products?","Сигурни ли сте, че искате да премахнете този продукт от листа за сравнение?"
"Are you sure?","Сигурен ли сте?"
"As low as:","Най-ниска цена:"
"Assign","Присъедини"
"Assign product link","Присъедини линк към продукт"
"Assign product to category","Присъедини линк към категория"
"Assigned Products","Присъединени продукт"
"Associated Products","Асоциирани продукти"
"Attrib. Set Name","Име на Атрибут група"
"Attribute Code","Код на атрибут"
"Attribute Information","Информация за атрибута"
"Attribute Label","Етикет за атрибути"
"Attribute Model","Модел на атрибута"
"Attribute Name:","Име на атрибута:"
"Attribute Properties","Свойства на атрибута"
"Attribute Set","Атрибут Група"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","Модела за атрибути не е определен"
"Attribute with the same code already exists","Има съществуващ атрибут с този код"
"Attributes","Атрибути"
"Attrribute names can be specified per store.","Имената на атрибутите могат да се задават за всеки магазин."
"Autogenerate","Автоматично генериране"
"Availability","Availability"
"Availability: In stock.","Наличност: На склад."
"Availability: Out of stock.","Наличност: Изчерпана."
"Back","Назад"
"Backend Model","Модел за администрация"
"Backend Table","Таблица за администрация"
"Backend Table Title","Име на таблица за администрация"
"Backorders","Върнати поръчки"
"Base directory to upload image file is not specified","Главната директория за качване на изображение не е указана"
"Based On","Базиран на"
"Best Value","Най-добра стойност"
"Block after Info Column","Блок след инфо колона"
"Bottom/Left","Долу/Ляво"
"Bottom/Right","Долу/Дясно"
"Browse By","Разглеждане по"
"Buy %1$s for %2$s","Закупуване на %1$s за %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Закупуване на %1$s за %2$s (%3$s вкл. данък) всеки"
"Buy %1$s for %2$s each","Закупуване на %1$s за %2$s всеки"
