"Add Recipient","Добави получател"
"Allow for Guests","Разреши за гости"
"Email Address","Имейл"
"Email Address:","Имейл:"
"Email templates","Имейл шаблони"
"Email to a Friend","Изпрати на приятел"
"Email:","Имейл:"
"Enabled","Активно"
"Limit Sending By","Ограничи изпращането по"
"Link to a friend was sent.","Писмо до приятел(и) с линк към този продукт беше успешно изпратен."
"Max Products Sent in 1 Hour","Максимален бр. продукти изпратени за 1 час"
"Max Recipients","Максимален бр. получатели"
"Maximum %d email addresses allowed.","Разрешени са максимум %d имейл адреси."
"Message:","Съобщение:"
"Name","Име"
"Name:","Име:"
"Recipient:","Получател:"
"Remove Email","Премахни имейл"
"Select email template","Изберете имейл шаблон"
"Send email","Изпрати"
"Send product to a friend","Изпрати продукт на приятел"
"Sender:","Подател:"
"Some emails was not sent","Някой имейли не са изпратени"
"Some problems with data.","Има някакви проблеми с данните."
"You cannot email this product to a friend","Невъзможно е изпращането на линк към този продукт на приятел"
"You cannot send more than %d times in an hour","Не можете да изпратите повече от %d пъти на час"
