"# of Uses","Брой използвания"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Десйтвие"
"Actions","Действия"
"Add New Tag","Добави нова кл. дума"
"Add Tags","Добави ключови думи"
"Add Your Tags:","Добавете собствени ключви думи:"
"Add to Cart","Добави в количка"
"Add to Wishlist","Добави в списък желания"
"All Tags","Всички кл. думи"
"Approved","Одобрено"
"Are you sure that you want to delete this tag?","Сигурни ли сте, че желаете да изтриете тази ключова дума?"
"Are you sure you want to delete this tag?","Сигурен ли сте, че искате да изтриете тази кл. дума?"
"Are you sure you want to do this?","Сигурен ли сте, че искате да направите това?"
"Are you sure?","AСигурен ли сте?"
"Back","Обратно"
"Back to Tags List","Обратно към списък с кл. думи"
"Back to view Tag","Обратно към ключова дума"
"Block Information","Информация за блок"
"CSV","CSV"
"Change status","Смени статус"
"Click on a tag to view your corresponding products.","Изберете ключова дума за да прегледате кореспондиращите и продукти."
"Country","Държава"
"Customer Since","Клиент от"
"Customers","Клиенти"
"Customers Tagged '%s'","Клиенти маркирали '%s'"
"Delete","Изтрий"
"Delete Tag","Изтрий кл. дума"
"Disabled","Неактивно"
"Edit Tag","Редакция ключова дума"
"Edit Tag '%s'","Редакция на кл. дума '%s'"
"Email","Имейл"
"First Name","Собствено име"
"General Information","Основна информация"
"Grid","Табличен изглед"
"ID","ID"
"Last Name","Фамилия"
"List","Списък"
"My Recent Tags","Моите последни кл. думи"
"My Tags","Моите кл. думи"
"Name","Име"
"New Tag","Нова кл. дума"
"No matches found.","не са намерени съвпадения."
"Other people marked this product with these tags:","Други хора маркираха този продукт със следните кл. думи:"
"Pending","В изчакване"
"Pending Tags","Кл. думи в изчакване"
"Popular","Популярно"
"Popular Tags","Популярна кл. дума"
"Popularity","Популярност"
"Price","Цена"
"Product Name","Име на продукт"
"Product SKU","Кат. №"
"Product Tags","Кл. думи за продукт"
"Products","Продукти"
"Products Tagged with '%s'","Продукти маркирани с '%s'"
"Products tagged with '%s'","Продукти маркирани с '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Продукти отбелязани с '%s' (<a href='%s'>RSS</a>)"
"SKU","Кат. №"
"Save Tag","Запиши кл. дума"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Резултати от търсенето за '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Статус"
"Tag","Ключова дума"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Информация за ключова дума"
"Tag Name","Ключова дума"
"Tag Name: %s","Ключова дума: %s"
"Tag can't be empty.","Ключовата дума, не може да бъде празна."
"Tagged in","Отбелязано в"
"Tags","Ключови думи"
"Tags Aren't Available","Няма ключови думи за показване"
"Tags:","Ключови думи:"
"Telephone","Телефон"
"Thank you. Your tag has been accepted for moderation.","Благодарим Ви. Вашата ключова дума бе приета за одобрение."
"Unable to find any products tagged with '%s' in the current store","Невъзможно е намирането на продукти маркирани с '%s' в текущия магазин"
"Unable to remove tag. Please, try again later.","Невъзможно е премахването на ключова дума. Моля опитайте отново по-късно."
"Unable to save tag(s)","Ключовата дума(и) не е записана"
"Unable to save your tag. Please, try again later.","Не е възможен записа на Вашата ключова дума. Моля опитайте отново"
"Use spaces to separate tags. Use single quotes (') for phrases.","Използвайте празно място за разделяне на ключови думи. Използвайте единични кавички (') за фрази."
"Uses","Използвания"
"View All","Виж всички"
"View All Tags","Покажи всички кл. думи"
"View Customers","Покажи клиенти"
"View Products","Покажи продукти"
"Visible In","Видимо в"
"XML","XML"
"You have not tagged any products yet.","Все още не сте добавили ключови думи за продукт."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Пощенски код"
"You have not tagged any products yet.","You have not tagged any products yet."
