"-- Please Select --","-- Моля изберете --"
"Add New Class","Добави нов клас"
"Add New Tax Rate","Добави нова данъчна ставка"
"Add New Tax Rule","Добави ново данъчно правило"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Приложи данкък върху"
"Are you sure you want to do this?","Сигурен ли сте, че искате да направите това?"
"Back","Обратно"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Име на клас"
"Code","Код"
"Country","Държава"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Област"
"Custom price if available","Друга цена ако е налична"
"Customer Tax Class","Данъчен клас на клиент"
"Customer Tax Class Information","Информация за данъчен клас на клиент"
"Customer Tax Classes","Данъчни класове на клиент"
"Default Country","Държава по подразбиране"
"Default Post Code","Пощенски код по подразбиране"
"Default State","Област по подразбиране"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Иззтрий клас"
"Delete Rate","Иззтрий ставка"
"Delete Rule","Иззтрий правило"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Покажи цени на доставка"
"Display Zero Tax Subtotal","Покажи междинна данъчна сума при нулев данък"
"Display full tax summary","Display full tax summary"
"Edit Class","Редактирай клас"
"Edit Class '%s'","Редакция на клас '%s'"
"Edit Rule","Редактирай правило"
"Edit Tax Rate","Редактирай ставка"
"Error while deleting this class. Please try again later.","Грешка при изтриване на този клас. Моля, опитайте по-късно."
"Error while deleting this rate. Incorrect rate ID","Грешка при изтриване на тази ставка. Грешно ID на ставка"
"Error while deleting this rate. Please try again later.","Грешка при изтриване на тази ставка. Моля, опитайте по-късно."
"Error while deleting this tax rule. Please try again later.","Грешка при изтриване на това данъчно правило. Моля, опитайте по-късно."
"Error while saving this rate. Please try again later.","Грешка при запазване на тази ставка. Моля, опитайте по-късно."
"Error while saving this tax class. Class with the same name ","Грешка при запазване на този данъчен клас. Има клас със същото име "
"Error while saving this tax class. Please try again later.","Грешка при запазване на този данъчен клас. Моля, опитайте по-късно."
"Error while saving this tax rule. Please try again later.","Грешка при запазване на данъчно правило. Моля, опитайте по-късно."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Без данък"
"Excl. Tax:","Без данък:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Експортирай ставки"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Импортиране / Експортиране на ставки"
"Import Tax Rates","Импортирай ставки"
"Inc. Tax","С вкл. данък"
"Incl. Tax","С вкл. данък"
"Incl. Tax:","С вкл. данък:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Неправилни данни за ставката"
"Invalid data for tax rate calculation","Неправилни данни за изчисляване на данъчната ставка"
"Invalid file format upload attempt","Опит за качване на невалиден формат на файл"
"Invalid file upload attempt","Опит за качване на невалиден файл"
"Manage Customer Tax Classes","Управление на клиентски данъчни класове"
"Manage Product Tax Classes","Управление на продуктови данъчни класове"
"Manage Tax Rates","Управление данъчни ставки"
"Manage Tax Rules","Управление данъчни правила"
"Manage Tax Zones & Rates","Управление дан. зони & ставки"
"Name","Име"
"New Class","Нов клас"
"New Rule","Ново правило"
"New Tax Rate","Нова данъчна ставка"
"None","Няма"
"One of the country has invalid code.","Някоя от държавите има невалиден код."
"Original price only","Само оригинална цена"
"Please select Country","Моля, изберете държава"
"Please select County","Моля, изберете квартал"
"Please select State","Моля, изберете област"
"Priority","Приоритет"
"Product Tax Class","Продуктов данъчен клас"
"Product Tax Class Information","Информация за продуктов данъчен клас"
"Product Tax Classes","Продуктови данъчни класове"
"Rate","Ставка"
"Reset","Нулирай"
"Sales","Продажби"
"Save Class","Запиши клас"
"Save Rate","Запиши ставка"
"Save Rule","Запиши правило"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Начин на подреждане"
"State","Щат"
"State/Region","Област/Щат"
"Tax","Данък"
