"Billing Information","Информация за плащане"
"Change Payment Method","Промени метода за плащане"
"Change Shipping Address","Промени адреса за доставка"
"Edit Shopping Cart","Редактирай количката"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","продукти във Вашата количка"
"No shipping method required.","No shipping method required."
"PayPal Account","PayPal акаунт"
"PayPal Email","PayPal имейл"
"Payment Method","Payment метод"
"Place an Order","Добави поръчка"
"Please select a shipping method...","Моля, изберете метод за доставка..."
"Price","Цена"
"Product Name","Име на продукт"
"Qty","Количество"
"Review Order","Прегледай поръчка"
"Shipping Address","Адрес за доставка"
"Shipping Information","Информация за доставка"
"Shipping Method","Метод на доставка"
"Sorry, no quotes are available for this order at this time.","Извиняваме се, в момента няма оферти за вашата поръчка."
"Submitting order information...","Изпращане на информация за поръчката..."
"Subtotal","Междинна сума"
"Update Shipping Method","Обнови метода за доставка"
"You will be redirected to PayPal website when you place an order.","Ще бъдете препратени към сайта на PayPal, когато направите поръчка."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","Вашият адрес за плащане ще бъде игнориран и вие ще бъдете препратени към уебсайта на PayPal"
