"%s Item(s)","%s обекта"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Клик и издърпване за смяна на стойност"
"(ver. %s)","(вер. %s)"
"- Click on any of the time parts to increase it","- Клик върху която и да е част от времето за увеличаването и"
"- Hold mouse button on any of the above buttons for faster selection.","- Задръжте бутона на мишката върху който и да е от бутоните по-горе за бърз избор."
"- Use the %s buttons to select month","- Използвайте бутони %s за избор на месец"
"- Use the %s, %s buttons to select year","- Използвайте бутони %s, %s за избор на година"
"- or Shift-click to decrease it","- или Shift-клик за намаляването и"
"- or click and drag for faster selection.","- или клик и издърпване за бърз избор."
"About the calendar","За календара"
"Click <a href=""%s"">here</a> if nothing has happened","Кликни <a href=""%s"">тук</a> ако нищо не се случва"
"Close","Затвори"
"Close Window","Затвори прозореца"
"DHTML Date/Time Selector","Инструмент за избор на Дата/Време"
"Date selection:","Избор на дата:"
"Default Description","Описание по подразбиране"
"Default welcome msg!","Добре дошли по подразбиране!"
"Display %s first","Покажи първо %s"
"Distributed under GNU LGPL. See %s for details.","Разпространено под GNU LGPL. Вижте %s за повече информация."
"Drag to move","Издърпайте за преместване"
"For latest version visit: %s","За последна версия посетете: %s"
"Go Today","Отиди на днес"
"Help Us to Keep Magento Healthy","Погнете ни да поддържаме Magenot стабилно"
"Interface Language","Език за интерфейс"
"Items %s to %s of %s total","Обекти %s до %s от общо %s"
"Next Page","Следваща"
"Next month (hold for menu)","(задръжте за меню)"""
"Next year (hold for menu)","Следваща година (задръжте за меню)"
"Page:","Страница:"
"Prev. month (hold for menu)","Пред. месец (задръжте за меню)"
"Prev. year (hold for menu)","Пред. година (задръжте за меню)"
"Previous Page","Предходна страница"
"Redirecting...","Пренасочване..."
"Report All Bugs","Докладване на проблеми"
"Select Store","Избери магазин"
"Select date","Избери дата"
"Show","Покажи"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","Пропуснете до основното съдържание"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Това е демонстрационен магазин. Всички поръчки направени през този магазин няма да бъдат разгледани или изпълнени."
"Time selection:","Избор на време:"
"Time:","Време:"
"Welcome, %s!","Здравейте, %s!"
"You're currently on:","В момента сте на:"
"Your Language","Вашият език"
"Your Language:","Вашият език:"
"per page","на страница"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
