"ALL","ВСИЧКИ"
"ANY","НЯКОЕ"
"Add","Добави"
"Apply","Приложи"
"Description: %s","Описание: %s"
"Expire at: %s","Изтича на: %s"
"FALSE","НЕВЯРНО"
"If %s of these conditions are %s:","Ако %s от тези условия са %s:"
"Invalid discount amount.","Грешна стойност за отстъпка"
"MATCHING ALL","СЪВПАДЕНИЕ НА ВСИЧКО"
"MATCHING ANY","СЪВПАДЕНИЕ НА НЯКОЕ"
"NOT MATCHING ALL","НЕСЪВПАДЕНИЕ НА ВСИЧКО"
"NOT MATCHING ANY","НЕСЪВПАДЕНИЕ НА НЯКОЕ"
"Name: %s","Име: %s"
"Open Chooser","Отвори избор"
"Perform following actions","Извърши следните действия"
"Please choose a condition to add...","Моля изберете условие за добавяне"
"Please choose an action to add...","Моля изберете действие за добавяне"
"Remove","Премахни"
"Start at: %s","Започва на: %s"
"TRUE","ВЯРНО"
"by","по"
"contains","съдържа"
"does not contain","не съдържа"
"equals or greater than","равно или по-голямо"
"equals or less than","равно или по-малко"
"greater than","по-голямо"
"is","е"
"is not","не е"
"is not one of","не е едно от"
"is one of","е едно от"
"less than","по-малко"
"to","до"
