"Add New Row","Добави нов ред"
"An error occurred while saving the file(s).","Грешка при записване на файла/файловете."
"Availability: In stock.","Availability: In stock."
"Availability: Out of stock.","Availability: Out of stock."
"Back","Обратно"
"Can't connect to remote host, error: %s","Can't connect to remote host, error: %s"
"Canceled","Отказано"
"Date","Дата"
"Default Link Title","Заглавие за линк по подразбиране"
"Default Maximum Number of Downloads","Максимален брой файлове за сваляне по подразбиране"
"Default Sample Title","Примерно заглавие по подразбиране"
"Disable Guest Checkout if cart contains downloadable items","Disable Guest Checkout if cart contains downloadable items"
"Downloadable Information","Информация за продукт за сваляне"
"Downloadable Product","Продукт за сваляне"
"Downloadable Product Options","Опции на продукт за сваляне"
"Downloadable product Section","Секция продукт за сваляне"
"Excl. Tax","Без. данък"
"File","Файл"
"File does not exists","File does not exists"
"From:","От:"
"Gift Message","Съобщение за ваучър за подарък"
"Go to <a href=""%s"">My Downloadable Products</a>","Отидете на <a href=""%s"">Моите продукти за сваляне</a>"
"Guest checkout will only work with shareable","Guest checkout will only work with shareable"
"Incl. Tax","Вкл. данък"
"Invalid download URL host","Invalid download URL host"
"Invalid download URL scheme","Invalid download URL scheme"
"Invalid download link type","Invalid download link type"
"Invoiced","Фактурирано"
"Link has expired.","Link has expired."
"Link is not available.","Link is not available."
"Links can be purchased separately","Връзките могат да бъдат закупувани поотделно"
"Max. Downloads","Макс. сваляния"
"Message:","Съобщения:"
"My Downloadable Products","Моите продукти за сваляне"
"Open Links in New Window","Отвори линкове в нов прозорец"
"Order #","Поръчка #"
"Order Item Status to enable Downloads","Order Item Status to enable Downloads"
"Ordered","Поръчано"
"Pending","В изчакване"
"Please log in to download your product.","Моля влезте в системата за изтегляне на Вашия продукт."
"Please set resource file and link type","Please set resource file and link type"
"Please specify product link(s).","Моля укажете линкове на продукт(и)."
"Price","Цена"
"Refunded","Върнато плащане"
"Remaining Downloads","Оставащи сваляния"
"Remove item","Remove item"
"Requested link doesn't exist.","Requested link doesn't exist."
"Sample","Пример"
"Shareable","Споделяем"
"Shipped","Изпратен"
"Sorry, the was an error getting requested content. Please contact store owner.","Sorry, the was an error getting requested content. Please contact store owner."
"Sorry, there was an error getting requested content","Sorry, there was an error getting requested content"
"Sorry, there was an error getting requested content. Please contact store owner.","Sorry, there was an error getting requested content. Please contact store owner."
"Sort Order","Начин на подреждане"
"Start Download","Стартирай сваляне"
"Status","Статус"
"Title","Заглавие"
"To:","До:"
"U","U"
"Unlimited","Неограничено"
"View Order","Прегледай поръчка"
"You have not purchased any downloadable products yet.","Нямате закупени продукти за сваляне."
"attachment","прикачен файл"
"download","изтегляне"
"inline","вградено"
"sample","пример"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
