" and "," и "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Абсолютен път или Релативен на инсталационната папка на Магенто, напр. var/export)"
"(For US 2-letter state names)","(За US 2-буквени имена на щатите)"
"(If left empty will be auto-generated)","(Aко полето е оставено празно ще бъде автоматично генерирано)"
"(Leave empty for first spreadsheet)","(Празно за първа електронна таблица)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Продуктите ще бъдат добавени/обновени към този магазин ако колона 'магазин' е празна или липсва във файла за импорт.)"
"(Shift-)Click or drag to change value","(Shift-)Click или влачене за промяна на стойността"
"(Starting with)","(Започва с)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Когато е 'Не', само свързаните(mapped) полетата ще бъдат импортирани. Когато свързвате, използвайте 'колона1', 'колона2' и т.н.)"
"(You have to increase php memory_limit before changing this value)","(Трябва да увеличите PHP memory_limit преди да промените тази стойност)"
"(\t for tab)","(t за табулация)"
"- Click on any of the time parts to increase it","- Щракнете на някоя от частите за време, за да я увеличите"
"- Hold mouse button on any of the above buttons for faster selection.","- Задръжте бутона на мишката върху някой от горните бутони за бърза селекция."
"- Use the %s buttons to select month","- Използвайте бутоните %s за избор на месец"
"- Use the %s, %s buttons to select year","- Използвайте бутоните %s, %s за избор на година"
"- or Shift-click to decrease it","- или Shift-click за намаляне"
"- or click and drag for faster selection.","- или кликнете и влачете за бърза селекция."
"API:","API:"
"About the calendar","За календара"
"Access Denied.","Access Denied."
"Account Created in:","Профилът е създаден в:"
"Account Created on (%s):","Профилът е създаден на (%s):"
"Account Created on:","Профилът е създаден на:"
"Action","Действие"
"Actions","Действия"
"Add","Add"
"Add Contents Path","Добавяне на път до съдържанието"
"Add Field with URL:","Добавяне на поле с URL:"
"Add Maintainer","Add Maintainer"
"Add New Role","Добавяне на нова Роля"
"Add New Template","Add New Template"
"Add New User","Добавяне на нов Потребител"
"Add PHP Extension dependency","Добавяне на PHP Extension зависимост"
"Add Package dependency","Добавяне на Пакетна зависимост"
"Add Subpackage dependency","Add Subpackage dependency"
