"%s was successfully added to your shopping cart.","%s беше успешно добавен към Вашата количка."
"&laquo; Back to Billing Information","&laquo; Назад към Платежна Информация"
"&laquo; Back to Select Addresses","&laquo; Обратно към Избор на Адреси"
"&laquo; Back to Shopping Cart","&laquo; Обратно към кошницата"
"* Required Fields","* Задължителни полета"
"Add New Address","Добави нов адрес"
"Add New Condition","Добави ново условие"
"Add to Cart","Добавяне в количката"
"Add to Compare","Добави за сравнение"
"Add to Wishlist","Добави в списъка с желания"
"Address","Адрес"
"Address %s of %s","Адрес %s от %s"
"After adding a product redirect to shopping cart","След добавянето на даден продукт пренасочи към кошницата"
"Allow Guest Checkout","Разреши на разплащане като Гост"
"Already registered?","Вече сте регистрирани?"
"An error occurred in the process of payment","Възникна грешка по време на плащане"
"Apply Coupon","Прилагане на ваучър"
"Are you sure you would like to remove this item from the shopping cart?","Сигурен ли сте, че искате да премахнете този артикул от количката?"
"Back","Обратно"
"Back to Shipping Information","Обратно към информация за доставка"
"Based on your selection, you may be interested in the following items:","Базирано на вашия избор, може би ще проявите интерес и към следните продукти:"
"Billing Address","Адрес за разплащане"
"Billing Information","Информация за плащане"
"Billing Information - %s","Информация за плащане - %s"
"Can not add item to shopping cart","Не може да добавите елемент към кошницата"
"Can not apply coupon code.","Не може да се използва купон."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Анулиране на ваучър"
"Cannot remove item","Не може да се премахне продукт"
"Cannot update shopping cart","Не може да се актуализира потребителска кошницата"
"Card Verification Number Visual Reference","Визуална референция на верификационен номер на карта"
"Cart Subtotal:","Сума:"
"Change","Промяна"
"Change Billing Address","Промяна на адреса за разплащане"
"Checkbox text","Checkbox text"
"Checkout","Разплащане"
"Checkout Conditions","Условия за разплащане"
"Checkout Options","Опции на разплащане"
"Checkout Section","Секция Разплащане"
"Checkout Terms and Conditions","Правила и условия за разплащане"
"Checkout as Guest","Разплащане като Гост"
"Checkout as a Guest or Register","Разплащане като Гост или регистрация"
"Checkout method","Метод за поръчване"
"Checkout with Multiple Addresses","Разплащане с няколко адреса"
"City","Населено място"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Кликнете <a href=""%s"" onclick=""this.target='_blank'"">тук за печат</a> на копие от потвърждение на поръчката."
"Close","Затвори"
"Company","Фирма/Компания"
"Condition Name","Име на условие"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Конфигурируемо изображение на продукта"
"Confirm Password","Потвърждение на парола"
"Content","Съдържание"
"Content Height","Височина за Съдържание"
"Content Height (css)","Височина за Съдържание (css)"
"Continue","Продължи"
"Continue Shopping","Продължи с покупките"
"Continue to Billing Information","Продължи към информация за плащане"
"Continue to Review Your Order","Продължи към преглед на поръчката"
"Continue to Shipping Information","Продължи към информация за доставка"
"Country","Държава"
"Coupon code ""%s"" is not valid.","Кодът от ваучър ""%s"" е невалиден."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Купона беше отменен успешно."
"Create Billing Address","Създай адрес за раплащане"
"Create Shipping Address","Създай адрес за доставка"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Проблем при записване на данните"
"Default Billing","Разплащане по подразбиране"
"Default Shipping","Доставка по подразбиране"
"Delete Condition","Изтриване на условие"
"Details","Детайли"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Неактивно"
"Discount Codes","Кодове за отстъпки"
"Display Cart Summary","Покажи общ преглед на количката"
"Display Shopping Cart Sidebar","Покажи странична лента на количката"
"Display item quantities","Покажи количествата на артикулите"
"Display number of items in cart","Покажи брой на продукти в количката"
"Easy access to your order history and status","Лесен достъп до хронология и статус на Вашите поръчки"
"Edit","Редактирай"
"Edit Address","Редактирай адрес"
"Edit Billing Address","Редактирай адрес за плащане"
"Edit Items","Редактирай артикули"
"Edit Shipping Address","Редактирай адрес за доставка"
"Edit Terms and Conditions","Редактирай правила и условия"
"Edit Your Cart","Промени съдържанието на количката"
"Email Address","Имейл адрес"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Активно"
"Enter a New Address","Въведете нов адрес"
"Enter your coupon code if you have one.","Въведете ваучър код, ако е наличен."
"Enter your destination to get a shipping estimate.","Въведете крайна точка за изчисляване на доставката."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Изчисли доставка и данъци"
"Excl. Tax","Без данък"
"Fast and easy check out","Бързо и лесно плащане"
"Fax","Факс"
"Forgot an Item?","Забравен продукт?"
"Forgot your password?","Забравена парола?"
"Get a Quote","Вземи оферта"
"Grand Total:","Общо:"
"Grouped product image","Групирани продукт на изображението"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Вкл. данък"
"Invalid data","Невалидни данни"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Невалиден метод за доставка."
"Items","Продукти"
"Load customer quote error","Зареждане грешка на клиентска оферта"
"Loading next step...","Зареждане на следваща стъпка"
"Login","Вход"
"Manage Checkout Terms and Conditions","Управление на правила и условия за разплащане"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимално разрешено количество за доставка на различни адреси е %s"
"Move to Wishlist","Премести в Списък с желания"
"My Account","Моят профил"
"My Cart","Моята Количка"
"My Cart (%s item)","Моята Количка (%s продукт)"
"My Cart (%s items)","Моята Количка (%s продукта)"
"My Cart Link","Линк към моята количка"
"New Address","Нов адрес"
"New Condition","Ново условие"
"Order #","Поръчка #"
"Order Review","Преглед на поръчката"
"Order Success","Успешна поръчка"
"Other items in your order","Other items in your order"
"Password","Парола"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Начин на плащане"
"Payment Method","Начин на плащане"
"Payment method is not defined","Не е избран начин на плащане"
"Place Order","Поръчай"
"Please <a href=""%s"">continue shopping</a>.","Моля <a href=""%s""> продължете пазаруването </ A>."
"Please agree to all Terms and Conditions before placing the order.","Трябва да сте съгласни с всички Правила и условия преди да направите поръчка."
"Please agree to all Terms and Conditions before placing the orders.","Трябва да сте съгласни с всички Правила и условия преди да направите поръчка."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Моля, въведете валиден пощенски код."
"Please log in below:","Моля, влезте в системата:"
"Please select region, state or province","Моля, изберете област"
"Please select shipping address for applicable items","Моля, изберете адрес за доставка за посочените артикули"
