"Actions","Действия"
"Active","Активно"
"Add New Rule","Добави ново правило"
"Apply","Приложи"
"Apply the rule only if the following conditions are met (leave blank for all products)","Приложи правилото само за съвпадения на следните условия (оставете празно за всички продукти)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Приложи правилото само за съвпадения на следните условия за артикули от количката (оставете празно за всички продукти)"
"Apply the rule to cart items matching the following conditions","Приложи правилото за съвпадения на следните условия за артикули от количката"
"Apply to","Приложи към"
"Buy X get Y free (discount amount is Y)","Купи X получи Y безплатно (сумата за отстъпка е Y)"
"By Fixed Amount","По фиксирана сума"
"By Fixed value","По фиксирана стойност"
"By Percentage","По процент"
"By Percentage of the original price","По процент от оригиналната цена"
"Cart Attribute","Атрибути на количка"
"Catalog","Каталог"
"Conditions","Условия"
"Conditions combination","Комбинация от условия"
"Coupon Code","Код от талон"
"Coupon code","Ваучер код"
"Customer Groups","Клиентски групи"
"Customer is new buyer: %s","Клиент е нов купувач: %s"
"Customer registered: %s","Клиента е регистриран: %s"
"Date Expire","Дата на изтичане"
"Date Start","Начална дата"
"Delete Rule","Изтрий правило"
"Description","Описание"
"Description: %s","Описание: %s"
"Discount Qty Step (Buy X)","Стъпка за отстъпка по количество (Купи X)"
"Discount amount","Размер на намалението"
"Edit Rule","Редактирай правило"
"Edit Rule '%s'","Редакция на правило '%s'"
"Expire at: %s","Изтича в: %s"
"Fixed amount discount","фиксирана сума за отстъпка"
"Fixed amount discount for whole cart","фиксирана сума за отстъпка за цялата количка"
"For matching items only","Само за продукти, които съвпадат"
"For shipment with matching items","За доставка на продукти, които съвпада"
"Free shipping","Безплатна доставка"
"From Date","От дата"
"General Information","Основна информация"
"ID","ID"
"Inactive","Неактивно"
"Maximum Qty Discount is Applied to","Максимално намаление е приложено на"
"NOT LOGGED IN","БЕЗ ВХОД В СИСТЕМАТА"
"Name: %s","Име: %s"
"New Rule","Ново правило"
"No","Не"
"Payment Method","Метод на плащане"
"Percent of product price discount","Отстъпка процент от цена на продукт"
"Price in cart","Цена в количка"
"Priority","Приоритет"
"Product attribute combination","Комбинация от атрибути на продукт"
"Products subselection","Подселекция от продукти"
"Promotions","Промоции"
"Public In RSS Feed","Публично в RSS бюлетин"
"Quantity in cart","Количество в количка"
"Row total in cart","Сума на ред от количката"
"Rule Information","Информация за правило"
"Rule Name","Име на правило"
"Rule was successfully deleted","Успешно изтриване на правилото"
"Rule was successfully saved","Успешно запазване на правилото"
"Save Rule","Запиши правило"
"Shipping Country","Държава за доставка"
"Shipping Method","Метод на доставка"
"Shipping Postcode","Пощ. код за доставка"
"Shipping Region","Регион за доставка"
"Shipping State/Province","Област/Щат за доставка"
"Shopping Cart Price Rule","Правило за цена в количка"
"Shopping Cart Price Rules","Правила за цена в количка"
"Special price","Специална цена"
"Start at: %s","Започва в: %s"
"Status","Статус"
"Stop further rules processing","Спри бъдещата обработка на правила"
"Subtotal","Междинна сума"
"The page you are trying to save no longer exists","Страницата, която се опитвате да запишете вече не съществува"
"This rule no longer exists","Това правило повече не съществува"
"To Date","Към дата"
"To Fixed Amount","Към фиксирана сума"
"To Fixed Value","Към фиксирана стойност"
"To Percentage","Към процент"
"To Percentage of the original price","По процент от оригиналната цена"
"Total Items Quantity","Общо количество продукти"
"Total Weight","Общо тегло"
"Unable to find a page to delete","Не е открита страница за изтриване"
"Update prices using the following information","Актуализрай цени, използвайки следната информация"
"Update product's %s %s: %s","Обнови %s %s на продукти: %s"
"Update the Product","Обнови продукта"
"Uses per coupon","Използвания на ваучер"
"Uses per customer","Използвания на клиент"
"Yes","Да"
