"-- Please select --","-- Моля, изберете --"
"Allowed currencies","Разрешени валути"
"Base currency","Base currency"
"Cannot retrieve rate from %s","Невъзможно получаване на стойност от %s"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","Продължи &raquo;"
"Country","Държава"
"Country Api","Api Държави"
"Country and Format Type combination should be unique","Комбинацията от държава и тип формат трябва да е уникална"
"Currency","Валута"
"Currency Options","Валутни опции"
"Currency Setup","Настройка Валути"
"Currency Update Warnings","Предупреждения при обновяване на валута"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default display currency","Валута по подразбиране"
"Directory","Директория"
"Enabled","Активно"
"Error Email Recipient","Получатели на имейл за грешки"
"Error Email Sender","Подател на имейл за грешки"
"Error Email Template","Шаблон на имейл за грешки"
"FATAL ERROR:","ФАТАЛНА ГРЕШКА:"
"Frequency","Честота"
"Installed Currencies","Инсталирани валути"
"Invalid Import Service Specified","Невъзможна услуга за вмъкване"
"Invalid country code: %s","Невалиден код на държава: %s"
"Invalid rates received","Получени са невалидни ставки"
"Invalid target currency","Грешна търсена валута"
"List of countries","Списък държави"
"List of regions in specified country","Списък региони в избраната държава"
"Region","Регион"
"Region Api","Api Региони"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","Планирани настройки за импорт"
"Select Your Currency","Изберете вашата валута"
"Service","Услуга"
"Start Time","Начално време"
"State/Province","Област/Щат"
"Strikeiron Email Update Warnings","Предупреждения по имейл за обновяване на Strikeiron"
"Unable to initialize import model","Не може да инициализира входния модел"
"Undefined rate from ""%s-%s""","Недефинирани стойности от ""%s-%s"""
"WARNING:","ПРЕДУПРЕЖДЕНИЕ:"
"Webservicex","Webservicex"
"Your current currency is: %s","Текуща валута: %s"
