"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s беше успешно добавен във вашия списък с желани продукти. Кликнете <a href=""%2$s"">тук</a> за да продължите да пазарувате"
"%s's Wishlist","Списък желание на %s"
"* Required Fields","* Задължителни полета"
"Add All to Cart","Добави всички в количка"
"Add to Cart","Добави в количка"
"Add to Wishlist","Добави в списък желания"
"Added On","Добавено на"
"Are You sure?","Сигурни ли сте?"
"Are you sure you want to remove this product from your wishlist?","Сигурен ли сте, че искате да премахнете този продукт от Вашия списъка с желания?"
"Are you sure you would like to remove this item from the wishlist?","Сигурен ли сте, че искате да премахнете този продукт от списъка с желания?"
"Back","Обратно"
"Can't save description %s","Невъзможно е записване на описание %s"
"Cannot create wishlist","Не може да се създаде списък с желани продукти"
"Cannot specify product","Не може да определи продукт"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Отметнете тук ако искате да добавите линк към rss бюлетин към Вашия списък желания."
"Comment","Коментар"
"Email Sender","Имейл подател"
"Email Template","Имейл шаблон"
"Email address can't be empty.","Имейл адресът не може да е празен."
"Email addresses, separated by commas","Имейл адреси, разделени със запетайки"
"Enabled","Активно"
"General Options","Основни настройки"
"Go to Wishlist","Към списък желания"
"Last Added Items","Последно добавени продукти"
"Message","Съобщение"
"My Wishlist","Моят списък с желания"
"My Wishlist (%d item)","Моят списък с желания (%d продукт)"
"My Wishlist (%d items)","Моят списък с желания (%d продукта)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Моля въведете валидни имейл адреси, разделени със запетайки. Например johndoe@domain.com, johnsmith@domain.com"
"Please, enter your comments...","Моля въведете Вашите коментари..."
"Product","Продукт"
"RSS Feed","RSS бюлетин"
"RSS link to %s's wishlist","RSS линк към списък с желания на %s"
"Remove Item","Премахни"
"Share Wishlist","Споделяне на списък с желания"
"Share Your Wishlist","Споделете Вашия списък с желания"
"Share options","Опции за споделянеShare options"
"Sharing Information","Информация за споделяне"
"There was an error while adding item to wishlist.","Има грешка при добавяне на продукт към списъка с желани."
"There was an error while adding item to wishlist: %s","Има грешка при добавяне на продукт към списъка с желани: %s"
"There was an error while deleting item from wishlist.","Има грешка при премахване на продукт към списъка с желани."
"There was an error while deleting item from wishlist: %s","Има грешка при премахване на продукт към списъка с желани: %s"
"This product(s) is currently out of stock:","Този продукт(и) не са налични в момента:"
"Update Wishlist","Обнови списък с желания"
"View Product","Преглед на продукт"
"Wishlist","Списък с желания"
"Wishlist Section","Секция списък с желания"
"Wishlist Sharing","Споделяне на списък с желания"
"Wishlist is empty now.","Списъкът с желания е празен сега."
"You have no items in your wishlist.","Нямате продукти във Вашия списък с желания."
"You input not valid email address.","Въвели сте невалиден имейл адрес."
"Your Wishlist was successfully shared","Вашия списък е успешно споделен"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Моя списък с желани продукти"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
