"%d Review(s)","%d Мнение/мнения"
"%s Review(s)","%s Мнение/мнения"
"(Posted on %s)","(Публикувано на %s)"
"1 star","1 звезда"
"2 stars","2 звезди"
"3 stars","3 звезди"
"4 stars","4 звезди"
"5 stars","5 звезди"
"Add New Review","Добави ново мнение"
"Add Your Review","Добавете вашето мнение"
"Administrator","Администратор"
"All Reviews","Всички мнения"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","Сигурен ли сте, че искате да направите това?"
"Are you sure?","Сигурен ли сте?"
"Average Customer Rating","Средно гласуване на клиент"
"Average Customer Rating:","Средно гласуване на клиент:"
"Back","Обратно"
"Back to Main Product Info","Обратно към основна информация за продукт"
"Back to My Reviews","Обратно към Моите мнения"
"Back to Product Reviews","Обратно към мнения за продукт"
"Be the first to review this product","Дайте първото мнение за този продукт"
"Created On","Създадено на"
"Customer","Клиент"
"Customer Reviews","Мнения на клиент"
"Delete","Изтрий"
"Delete Review","Изтрий мнение"
"Detailed Rating","Подробен рейтинг"
"Edit Review '%s'","Редакция на мнение '%s'"
"Guest","Гост"
"How do you rate this product?","Как ще гласувате за този продукт?"
"ID","ID"
"Manage Ratings","Управление на гласувания"
"My Product Reviews","Моите мнения"
"My Recent Reviews","Моите последни мнения"
"Name","Име"
"Name In Store","Име в магазина"
"New Review","Ново мнение"
"Nickname","Псевдоним"
"Pending Reviews","Мнения в изчакване"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Моля изберете продукт"
"Please select one of each of the ratings above","Моля изберете едно от всички гласувания по-горе"
"Posted By","Публикувано от"
"Price","Цена"
"Product","Продукт"
"Product Name","Име на продукт"
"Product Rating","Оценка на продукт"
"Product Rating:","Оценка на продукт:"
"Product Review (submitted on %s):","Мнение за продукт (публикувано на %s):"
"Product Reviews","Мнения за продукт"
"Product SKU","Кат. №"
"Qty","Кол."
"Rating:","Оценка:"
"Review","Мнение"
"Review Details","Информация за мнение"
"Review by %s","Мнение от %s"
"Reviews and Ratings","Мнения и оценки"
"SKU","Кат. №"
"Save Review","Запиши мнение"
"Status","Статус"
"Submit Review","Изпрати мнение"
"Summary Rating","Обща оценка"
"Summary of Review","Обобщение на мнение"
"Summary of Your Review","Обобщение на Вашето мнение"
"Summary of review","Кратко мнение/Заглавие"
"Title","Заглавие"
"Type","Тип"
"Unable to post review. Please, try again later.","Мнението не е изпратено. Моля, опитайте по-късно."
"Update status","Обнови статус"
"View All Reviews","Виж всички мнения"
"View Details","Виж повече"
"Visible In","Видимо в"
"Websites","Уебсайтове"
"Write Your Own Review","Напишете своето собствено мнение"
"You have submitted no reviews.","Нямате публикувани мнения."
"You're reviewing: %s","Вие разглеждате: %s"
"Your Rating:","Вашата оценка:"
"Your Review (submitted on %s):","Ваше мнение (публикувано на %s):"
"Your review has been accepted for moderation","Вашето мнение бе прието за обработка"
"OR","OR"
"My Product Reviews","My Product Reviews"
