"%s and greater","%s и повече"
"Advanced Search","Разширено търсене"
"All","Всичко"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Автоматично генерирана карта на сайта"
"Catalog Advanced Search","Продуктов каталог - разширено търсене"
"Catalog Search","Търсене в Каталог"
"Don't see what you're looking for?","Не виждате това, което търсите?"
"Go","Продължи"
"Go to Home Page","Обратно към начална страница"
"Grid","Таблица"
"Home","Начална страница"
"List","Списък"
"Maximum Query Length","Максимална дължина на заявка за търсене"
"Maximum Query Words Count","Максимален брой думи"
"Maximum Search query  length is %s. Your query was cut.","Максималната дължина на заявка за търсене е %s. Вашата заявка е скъсена."
"Minimal Query Length","Минимална дължина на заявка за търсене"
"Modify your search","Коригирайте критериите за търсене"
"No","Не"
"No items were found using the following search criteria.","Няма намерени артикули, удовлетворяващи посочените критерии за търсене."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Често използвани критерии за търсене"
"Popular search terms","Популярни фрази за търсене"
"Relevance","Точност"
"Required Fields","Задължителни полета"
"Results","Резултати"
"Search","Търсене"
"Search Settings","Настройки за търсене"
"Search Site","Търсене в сайт"
"Search Terms","Критерии за търсене"
"Search Type","Тип търсене"
"Search entire store here...","Търсене в целия магазин..."
"Search results for '%s'","Резултати за '%s'"
"Search results for: '%s'","Резултати: '%s'"
"Subscribe to Feed","Абониране за Feed данни"
"There are no search terms available.","Няма налични критерии за търсене."
"Yes","Да"
"You have to specify at least one search term","Трябва да определите поне едно условие за търсене"
"Your search returns no results.","Не са намерени резултати."
"up to %s","до %s"
"<strong>%d item(s)</strong> were found using the following search criteria","Намерени са <strong>%d артикул(а)</strong> с посочените критерии за търсене"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
