"Abandoned carts","Изоставени колички"
"Action","Действие"
"Add to Cart","Добави в количка"
"Add to Compare","Добави за сравнение"
"Add to Wishlist","Добави в списък желания"
"Applied Coupon","Приложен талон"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Най-продавани"
"Bought from wishlists","Купено от списък желания"
"CSV","CSV"
"Carrier/Method","Кариера/Метод"
"Carts","Колички"
"Coupons","Талони за отстъпка"
"Created at","Създадено в"
"Customer","Клиент"
"Customer Name","Име на клиент"
"Customer Tags","Ключови думи на клиент"
"Customers","Клиенти"
"Customers Report","Справки по клиенти"
"Customers Reviews","Мнения на клиенти"
"Customers Tags","Ключови думи на клиенти"
"Customers by number of orders","Клиенти по брой поръчки"
"Customers by orders total","Клиенти по суми на поръчки"
"Customers that have wishlist: %s%","Клиенти, които имат списък с желания: %s%"
"Day","Ден"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","Детайл"
"Discounts","Намаления"
"Downloads","Изтегляния"
"Email","Имейл"
"Excel","Excel"
"First Name","Собствено име"
"Guest","Гост"
"Hits","Посещения"
"ID","ID"
"Invalid date specified","Invalid date specified"
"Invoiced","Фактурирано"
"Items Ordered","Поръчани продукти"
"Items in Cart","Продукти в количка"
"Last Name","Фамилия"
"Last Review","Последно мнение"
"Link","Връзка"
"Low stock","Ниска наличност"
"Month","Месец"
"Most Viewed","Най-преглеждани"
"Most viewed","Най-посещавани"
"Name","Име"
"New Accounts","Нови профили"
"Number Added","Брой добавени"
"Number Fulfilled","Брой изпълнени"
"Number Of Historical Uses","Брой на Historical потребители"
"Number Of Reviews","Брой мнения"
"Number Of Uses","Брой използвания"
"Number Purchased","Брой закупени"
"Number Viewed","Брой прегледи"
"Number of Items","Брой продукти"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of New Accounts","Брой нови профили"
"Number of Orders","Брой поръчки"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","
Number of Times Deleted"""
"Number of Total Tags","Брой общо кл. думи"
"Number of Unique Tags","Брой уникални кл. думи"
"Number of Views","Брой преглеждания"
"Number of items bought from a wishlist: %s","Брой продукта купени от списък желания: %s"
"Number of times deleted","Брой изтривания"
"Number of times wishlists have been shared (emailed): %s","Колко пъти е споделян (по имейл) списък с желания: %s"
"Number of wishlist conversions: %s","Брой конверсии на списък желания: %s"
"Number of wishlist referrals: %s","Брой извиквания на списък желания: %s"
"Number of wishlists: %s","Брой списъка с желания: %s"
"Offline Refunded","Възстановена офлайн"
"Online Refunded","Възстановена онлайн"
"Orders","Поръчки"
"Out of stock","Не е в наличност"
"Poducts Report","Справка за продукти"
"Popular Tags","Популярни кл. думи"
"Popularity","Популярност"
"Price","Цена"
"Product Name","
Product Reviews"""
"Product Reviews","Мнения за продукт"
"Product Sku","Каталожен номер"
"Product Tags","Кл. думи за продукт"
"Products","Продукти"
"Products Report","Справка за продукти"
"Products Reviews","Мнения за продукти"
"Products Sold","Products Sold"
"Products Tags","Кл. думи на продукти"
"Products in carts","Продукти в колички"
"Purchases","Полупки"
"Quantity Ordered","Поръчано количество"
"Quantity of Items","Количество продукти"
"Rate","Rate"
"Recently Compared Products","Последно сравнявани продукти
Recently Viewed"""
"Recently Viewed Products","Последно разглеждани"
"Recently Viewed/Compared Products","Последно разглеждани/сравнявани"
"Refunded","Възстановен"
"Reports","Справки"
"Results","Резултати"
"Revenue","Приходи"
"Review","Мнение"
"Reviews","Мнения"
"Reviews for %s","Мнениея за %s"
"Sales","Продажби"
"Sales Report","Справки продажби"
"Search Terms","Критерии за търсене"
"Shipping","Доставка"
"Shopping Cart","Количка"
"Show for Current","Покажи за текущ"
"Stock Qty","Кол. в наличност"
"Submitted In","Публикувано в"
"Submitted On","Публикуване на"
"Subtotal","Междинна сума"
"Tag","Кл. дума"
"Tag ""%s"" details","Инфо за кл. дума ""%s"""
"Tag Detail","Информация за кл. дума"
"Tag Name","Име на кл. дума"
"Tag use","Използване на таг"
"Tags submited by %s","Тагове публикувани от %s"
"Tags submitted to %s","Кл. думи публикувани за %s"
"Tax","Данък"
"Tax Amount","Данъчна сума"
"Title","Заглавие"
"Total","Сума"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Refunded","Общо сторно"
"Total Shipping","Общо доставки"
"Total Tags","Общо кл. думи"
"Total invoiced","Общо фактурирани"
"Total refunded","Общо върнати пари"
"Updated at","Обновено на"
"Visible In","Видимо в"
"Wishlist Report","Справка списък желания"
"Wishlist vs. Regular Order","Списък желания срещу нормална поръчка"
"Wishlists","Списък желания"
"Year","Година"
"Your Recently Compared","Вашите последно сравнявани"
"Your Recently Viewed","Вашите последно преглеждани"
