"Actions","Действия"
"Add Answer","Добави отговор"
"Add New Answer","Добави нов въпрос"
"Add New Poll","Добави нова анкета"
"Answer Title","Заглавие на отговор"
"Answer Title:","Заглавие на отговор:"
"Answer was successfully saved","Отговора беше запаметен успешно"
"Answer with the same title in this poll","Отговори със същото заглавие в тази анкета"
"Are you sure you want to delete it?","Сигурен ли сте, че искате да го изтриете?"
"Assigned Answers","Присъединени отговори"
"Closed","Затворено"
"Community Poll","Обществена анкета"
"Date Closed","Дата на затваряне"
"Date Posted","Дата на публикуване"
"Delete","Изтрий"
"Delete Answer","Изтрий отговор"
"Delete Poll","Изтрий анкета"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Answer '%s'","Редакция на отговор '%s'"
"Edit Poll '%s'","Редакция на анкета '%s'"
"Edit Poll Answer","Редактирай отговор на анкета"
"ID","И.Н."
"Invalid Answer","Невалиден отговор"
"New Poll","Нова анкета"
"Number of Responses","Борй участия"
"Open","Отвори"
"Poll Answers","Отговори от анкета"
"Poll Information","Информация за анкета"
"Poll Manager","Управление на анкети"
"Poll Question","Въпрос от анкета"
"Poll information","Информация за анкета"
"Poll not exists","Анкетата не съществува"
"Poll with the same question","Анкета със същия въпрос"
"Save Answer","Запиши отговор"
"Save Poll","Запиши анкета"
"Status","Статус"
"Unable to find answer to delete.","Липсва отговор за изтриване."
"Visible In","Видимо в"
"Vote","Гласуване"
"Votes Count","Брой гласувания"
"Votes Count:","Брой гласувания:"
