"Action","Действие"
"All types","Всички видове"
"Backup file ""%s"" can't read or write","Невъзможно четене/писане - файл ""%s"""
"Backup file ""%s"" doesn't exist","Файл ""%s"" не съществува"
"Backup file doesn't exist","Архивният файл не съществува"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","Архиви"
"Cannot read backup file","Не може да се прочете файла"
"Create Backup","Създаване на архивен файл"
"DB","БД"
"Database was successfuly backed up.","Архивен файл на БД успешно създаден."
"Download","Сваляне"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Файлът е компресиран с Zlib, но това разширение не е инсталирано на сървъра"
"Size, byte","Size, byte"
"Time","Време"
"Type","Тип"
"Unable to create backup. Please, try again later.","Невъзможно създаването на архив. Моля, опитайте отново по-късно."
"Wrong order of creation for new backup","Грешна последователност за създаване на нов архив"
