"--Please Select--","--Seleccione por favor--"
"<label>Make Check payable to:</label> %s","<label>Make Check payable to:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Make Check payable to</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Can not configuration for payment method with code: %s"
"Can not retrieve payment info model object.","No es posible recuperar el modelo de objeto de pagos. (dev code error)"
"Can not retrieve payment method instance","No es posible recuperar el m&eacute;todo de la instancia de pago (dev code error)"
"Can not retrieve payment method model object.","Can not retrieve payment method model object."
"Card Verification Number","Card Verification Number"
"Check / Money order","Cheque / Orden de dinero"
"Credit Card Number","N&uacute;mero de Tarjeta"
"Credit Card Number: %s","N&uacute;mero de Tarjeta: %s"
"Credit Card Number: xxxx-%s","N&uacute;mero de Tarjeta: xxxx-%s"
"Credit Card Type","Tipo de Tarjeta de Cr&eacute;dito"
"Credit Card Type: %s","Tipo de Tarjeta de Cr&eacute;dito: %s"
"Credit Card Types","Tipos de Tarjeta de Cr&eacute;dito"
"Credit Card Verification","Verificaci&oacute;n de Tarjeta de cr&eacute;dito"
"Enabled","Habilitado"
"Expiration Date","Fecha de expiraci&oacute;n"
"Expiration Date: %s/%s","Fecha de expiraci&oacute;n: %s/%s"
"Make Check payable to","Make Check payable to"
"Make Check payable to: %s","Make Check payable to: %s"
"Maximum Order Total","Maximum Order Total"
"Minimum Order Total","Minimum Order Total"
"Month","Mes"
"Name on Card","Nombre en la Tarjeta de Cr&eacute;dito"
"Name on the Card: %s","Nombre en la Tarjeta de Cr&eacute;dito: %s"
"New order status","New order status"
"Payment Methods","Payment Methods"
"Payment Methods Section","Payment Methods Section"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Purchase Order Number","Purchase Order Number"
"Purchase Order Number: %s","Purchase Order Number: %s"
"Purchase order","Purchase order"
"Saved CC","Tarjeta de Cr&eacute;dito guardada"
"Send Check to","Enviar Cheque a"
"Send Check to:","Enviar cheque a:"
"Sort order","Sort order"
"Title","T&iacute;tulo"
"What is this?","&iquest;Qu&eacute; es esto?"
"Year","A&ntilde;"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
