"Actions","Acciones"
"Are you sure?","Est&aacute; seguro?"
"Date Added","Date Added"
"Error while marking as read. Please try again later.","Error al marcarlo como le&iacute;do. Intente nuevamente."
"Error while marking. Please try again later.","Error al marcar el item. Intente nuevamente."
"Error while removing. Please try again later.","Error al eliminar. Intente nuevamente."
"Last update","&Uacute;ltima actualizaci&oacute;n"
"Mark as Read","Marcar como Le&iacute;"
"Mark as read","Marcar como le&iacute;do"
"Message","Mensaje"
"Message was successfully marked as read","El mensaje a sido marcado como le&iacute;do."
"Message was successfully removed","Mensaje eliminado exitosamente."
"Messages Inbox","Bandeja de entrada"
"Notifications","Notificaciones"
"Please select messages","Por favor seleccione un mensaje"
"Read Details","Leer detalle"
"Remove","Eliminar"
"Severity","Severidad"
"Show List","Mostrar Lista"
"Show Toolbar","Mostrar barra de herramientas"
"Total of %d record(s) were successfully marked as read","%d mensaje(s) marcado(s) como le&iacute;do(s)"
"Total of %d record(s) were successfully removed","%d registro(s) fue(ron) eliminados"
"Unable to proceed. Please, try again","No es posible continuar. Por favor, intente nuevamente."
"Update frequency","Frecuencia de actualizaci&oacute;n."
"Use HTTPS to get feed","Utilice HTTPS para obtener feeds."
"critical","critical"
"major","mayor"
"minor","menor"
"notice","aviso"
