"* Required Fields","* Campos requeridos"
"A new password was sent","Una nueva contrase&nntildea se le ha enviado"
"Account Dashboard","Mi Perfil"
"Account Information","Informaci&oacute;n de la Cuenta"
"Account Sharing Options","Account Sharing Options"
"Account information was successfully saved","La informaci&oacute;n de la cuenta ha sido guardada"
"Action","Acci&oacute;n"
"Add New Address","Agregar nueva direcci&oacute;n"
"Add New Customer","Agregar nuevo Cliente"
"Add New Customer Group","Agregar nuevo Grupo de Clientes"
"Added From","Added From"
"Additional Address Entries","Additional Address Entries"
"Address","Direcci&oacute;n"
"Address Book","Libreta de Direcciones"
"Address Information","Address Information"
"Addresses","Direcciones"
"Admin","Administrador"
"All","Todos"
"All Store Views","All Store Views"
"All countries","Todos los pa&iacute;es"
"Always optional","Always optional"
"Amount","Cantidad"
"Approved","Aprovado"
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding of this address?"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Are you sure?","EstÃ¡ seguro?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","Assign a customer group"
"Average Sale","Average Sale"
"Back","Volver"
"Back to Login","Back to Login"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Billing Information"
"Bought From","Bought From"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando una cuenta en nuestra tienda, podr&aacute; realizar sus pedidos online de manera &aacute;gil, guardar m&uacute;ltiples direcciones de entrega, ver y realizar un seguimiento de sus pedidos a trav&eacute;s de su cuenta y mucho m&aacute;s."
"CSV","CSV"
"Can't save address","No es posible guardar la direcci&oacute;"
"Can't save customer","No es posible guardar el Cliente"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Cancelar"
"Change Account Password","Change Account Password"
"Change Billing Address","Change Billing Address"
"Change Password","Cambiar contrase&ntilde;a"
"Change Shipping Address","Change Shipping Address"
"City","Ciudad"
"Company","Compan&iacute;a"
"Config","Configuraci&oacute;"
"Confirm New Password","Confirmar nueva contrase&ntilde;a"
"Confirm Password","Confirmar contrase&ntilde;a"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmado"
"Contact Information","Informaci&oacute;n de contacto"
"Continue Shopping","Continuar comprando"
"Country","Pa&iacute;s"
"Create","Crear"
"Create New Account Options","Crear New Account Options"
"Create New Customer Account","Crear New Customer Account"
"Create Order","Crear Orden de compra"
"Create an Account","Crear una cuenta"
"Create customer","Crear un Cliente"
"Create customer address","Crear direcci&oacute;n de cliente"
"Current Password","Contrase&ntilde;a actual"
"Customer","Cliente"
"Customer Addresses","Direcci&oacute;n del cliente"
"Customer Api","Api del Cliente"
"Customer Configuration","Configuraci&oacute;n del cliente"
"Customer Group","Grupo del Cliente"
"Customer Group was successfully deleted","Customer Group was successfully deleted"
"Customer Group was successfully saved","Customer Group was successfully saved"
"Customer Groups","Grupos de Clientes"
"Customer Information","Informaci&oacute;n del Cliente"
"Customer Login","Inicio de sesi&oacute;n del Cliente"
"Customer Since","Cliente desde"
"Customer View","Vista de cliente"
"Customer collection expected","Customer collection expected"
"Customer doesn't have primary billing address","Customer doesn't have primary billing address"
"Customer email already exists","El cliente ya existe"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Clientes"
"Customers Only","Clientes solamente"
"Customers Section","Area de Cliente"
"DD","DD"
"Date","Fecha"
"Date Added","Fecha de creaci&oacute;n"
"Date of Birth","Fecha de Nacimiento"
"Date of Birth is required.","La Fecha de Nacimiento es requerida."
"Day","D&iacute;a"
"Days in Wishlist","Dias en la Lista de Deseos"
"Default Addresses","Direcciones predeterminadas"
"Default Billing Address","Direcci&oacute;n de facturaci&oacute;n predeterminada"
"Default Email Domain","Default Email Domain"
"Default Group","Default Group"
"Default Shipping Address","Default Shipping Address"
"Default Welcome Email","Default Welcome Email"
"Delete","Eliminar"
"Delete Address","Delete Address"
"Delete Customer","Delete Customer"
"Delete Customer Group","Delete Customer Group"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Deleted Stores"
"Details","Details"
"Disabled","Disabled"
"Edit","Editar"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Editar informaci&oacute;n de la cuenta"
"Edit Address","Editar direcci&oacute;n"
"Edit Address Entry","Edit Address Entry"
"Edit Customer Group ""%s""","Edit Customer Group ""%s"""
"Edit Customer Groups","Edit Customer Groups"
"Edit Customer's Address","Edit Customer's Address"
"Edit Group","Edit Group"
"Edit Newsletter Subscription","Edit Newsletter Subscription"
"Edit Newsletters","Edit Newsletters"
"Edit Personal Information","Edit Personal Information"
"Email","Email"
"Email Address","Direcci&oacute;n de email"
"Email Sender","Email Sender"
"Entity collection is expected","Entity collection is expected"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Ext. Price","Ext. Price"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fax"
"First Name","Nombre"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Forgot Email Sender"
"Forgot Email Template","Forgot Email Template"
"Forgot Your Password?","&iquest;Olvid&oacute; su contrase&ntilde;a?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde <em>Mi Perfil de Cuenta</em> podr&aacute; ver y consultar sus &uacute;ltimas actividades y actualizar la informaci&oacute;n de su Cuenta. Seleccione un link de la parte inferior para ver o editar su informaci&oacute;n."
"General Subscription","General Subscription"
"Global","Global"
"Go to Address Book","Go to Address Book"
"Grand Total","Grand Total"
"Grand Total: %s","Grand Total: %s"
"Group","Group"
"Group ""%s"" can not be deleted","Group ""%s"" can not be deleted"
"Group Information","Group Information"
"Group Name","Group Name"
"Guest","Guest"
"HTML","HTML"
"Hello, %s!","Bienvenido/a, %s!"
"ID","ID"
"IP Address","Direcci&oacute;n IP"
"If you have an account with us, please log in.","Si posee una cuenta, por favor inicie sesi&oacute;n."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid current password","La contrase&ntilde;a actual es inv&aacute;lida"
"Invalid customer data","Invalid customer data"
"Invalid email address","Invalid email address"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","El usuario o la contrase&ntilde;a no son correctos."
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Items Order","Items Order"
"Last 5 Orders","&Uacute;ltimos 5 Pedidos"
"Last Activity","Last Activity"
"Last Name","Apellido"
"Last Url","Last Url"
"Last Viewed Items","Last Viewed Items"
"Last date subscribed","Last date subscribed"
"Last date unsubscribed","Last date unsubscribed"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Lifetime Sales"
"Log In","Iniciar sesi&oacute;n"
"Log Out","Cerrar Sesi&oacute;n"
"Log in or Create an Account","Crea o ingresa a tu cuenta"
"Login","Inicie sesi&oacute;n"
"Login Information","Informaci&oacute;n de sesi&oacute;n"
"Login and password are required","Nombre de usuario y contrase&ntilde;a, son requeridos."
"Login or Create an Account","Login or Create an Account"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Administrar direcciones"
"Manage Customers","Manage Customers"
"Missing email, skipping the record","Missing email, skipping the record"
"Missing firstname, skipping the record","Missing firstname, skipping the record"
"Missing lastname, skipping the record","Missing lastname, skipping the record"
"Month","Month"
"My Account","Mi Cuenta"
"My Account Dashboard","Mi Perfil de cuenta"
"My Dashboard","Mi Perfil"
"My Orders","Mis Pedidos"
"My Reviews","Mis Reviews"
"My Tags","Mis Tags"
"My Wishlist","Mi Lista de Deseos"
"Name","Name"
