"%s is not correct comparsion method.","%s no es un método válido para comparar"
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Por favor, tenga en cuenta</strong> que esta configuraci&oacute;n es aplicable a cada item, y no a todos los items del carrito"
"Allow Qty Below 0","Permitir cantidad menor a 0"
"Allow Qty Below 0 and Notify Customer","Permitir cantidad menor a 0 y notificar al cliente"
"Backorders","Devoluciones"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Can not specify product identifier for order item","Can not specify product identifier for order item"
"Catalog Inventory","Inventario del Catálogo"
"Decrease Stock When Order is Placed","Descontar del Stock cuando una Compra es Recibida"
"In Stock","En stock"
"Inventory","Inventario"
"Inventory API","API de Inventario"
"Inventory Section","Seccion de Inventario"
"Manage Stock","Administrar Stock"
"Maximum Qty Allowed in Shopping Cart","Cantidad Maxima Permitida en el Carrito de Compras"
"Minimum Qty Allowed in Shopping Cart","Cantidad Minima permitida en el Carrito de Compras"
"No Backorders","Sin Devoluciones"
"Notify for Quantity Below","Notify for Quantity Below"
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Devuelve datos del stock por ID de producto"
"Rule price","Regla de precio"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Algunos de los productos están actualmente fuera de stock."
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Opciones de Stock"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","La cantidad máxima permitida para la compra es %s."
"The minimum quantity allowed for purchase is %s.","La cantidad mínima permitida para la compra es %s."
"The requested quantity for ""%s"" is not available.","La cantidad solicitada para ""%s"" no se encuentra disponible."
"The requested quantity is not available.","The requested quantity is not available."
"This product is currently out of stock.","El producto está actualmente fuera de stock."
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"Update","Actualizar"
"Update product stock data","Actualizar información de stock del producto"
"Update the Product","Actualizar el Producto"
