"Action","Gweithred"
"All types","Holl teipiau"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","Ffeil wrth gefn ddim yn bodoli"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","Ffeiliau wrth gefn"
"Cannot read backup file","Methu darllen ffeil copi wrth gefn"
"Create Backup","Creu ffeil wrth gefn"
"DB","DB"
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","Lawrlwytho"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","File compressed with Zlib, but this extension is not installed on server"
"Size, byte","Size, byte"
"Time","Amser"
"Type","Teip"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Wrong order of creation for new backup","Trefn anghywir am greadigaeth ffeil wrth gefn newydd"
