"%s Item(s)","%s Eitem(au)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(fer. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"About the calendar","About the calendar"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Close"
"Close Window","Cau Ffenestr"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Date selection:"
"Default Description","Disgrifiad yn Ddiofyn"
"Default welcome msg!","Default welcome msg!"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","Helpwch Ni i Gade Magento yn Iach"
"Interface Language","Iaith Rhyngwyneb"
"Items %s to %s of %s total","Eitemau %s i %s o %s cyfan"
"Next Page","Tudalen Nesaf"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","Tudalen:"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","Tudalen Blaenorol"
"Redirecting...","Redirecting..."
"Report All Bugs","Adrodd Holl Byg"
"Select Store","Dewis Siop"
"Select date","Select date"
"Show","Dangos"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","Sgipio i Brif Gynnwys"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Siop arddangosiad yw hwn. Ni fydd unrhyw archeb ar y safle yma yn cael eu hanrhydeddus."
"Time selection:","Time selection:"
"Time:","Time:"
"Welcome, %s!","Croeso, %s!"
"You're currently on:","Rhydych ar hyn o bryd yn:"
"Your Language","Eich Iaith"
"Your Language:","Your Language:"
"per page","y tudalen"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
