"Account login","Registro de Cuenta"
"Account password","Contraseña de la cuenta"
"Active","Activo"
"Add Attribute Mapping","Añadir Mapeo de Atributo"
"Add New Attribute","Añadir Atributo Nuevo"
"Add to Google Base","Añadir a Google Base"
"Are you sure?","¿Está seguro?"
"Attribute","Atributo"
"Attribute Set","Atributo Colocado"
"Attribute Set and Item Type","Atributo Colocado y Tipo de Artículo"
"Attributes","Atributos"
"Attributes Set","Atributos Colocados"
"Attributes mapping","Atributos mapeados"
"AuthSub","AuthSub"
"Available Products","Productos Disponibles"
"British Pound Sterling","British Pound Sterling"
"Cannot update Google Base Item for Store '%s'","Cannot update Google Base Item for Store '%s'"
"Captcha confirmation error: %s","Error Captcha de confirmación: %s"
"Captcha confirmed successfully","Captcha confirmado exitosamente"
"Clicks","Clic"
"ClientLogin","Registro del Cliente"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","Al mapeo actual será recargado ¿Continua?"
"Custom attribute, no mapping","Atributo personalizado, sin mapear"
"Default Store (%s)","Tienda predeterminada (%s)"
"Delete","Eliminar"
"Delete Mapping","Eliminar Mapeo"
"Edit Item Type","Modificar tipo de artículo"
"Edit Item Type ""%s""","Modificar tipo de artículo ""%s"""
"Error: %s","Error: %s"
"Euro","Euro"
"Expires","Expira"
"Germany","Alemánia"
"Google Base","Google Base"
"Google Base Attribute","Atributo Google Base"
"Google Base ID","ID de Google Base"
"Google Base Item Type","Tipo de artículo Google Base"
"Google Base Item type","Tipo de artículo Google Base"
"Google Base Items","Artículos Google Base"
"Hide","Ocultar"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modelo de producto inválido para artículo de Google Base"
"Item Type was deleted","Tipo de artículo fue eliminado"
"Item Types","Tipos de artículos"
"Item model is not specified to delete Google Base entry","El modelo del artículo no se especifico para eliminar la entrada de Google Base"
"Item type was successfully saved","El tipo de artículo fue guardado exitosamente"
"Items","Artículos"
"Manage Attribute Mapping","Gestión del mapeo del artículo"
"Manage Attributes","Gestión de Atributos"
"Manage Items","Gestión de Artículos"
"New Item Type","Tipo de artículo nuevo"
"No","No"
"No items were deleted from Google Base","Ningún artículo fue eliminado de Google Base"
"No items were published","Ningún artículo fue publicado"
"No items were saved as Inactive items","Ningún artículo fue guardado como artículo inactivo"
"No products were added to Google Base","Ningún producto fue añadido a Google Base"
"Object model is not specified to save Google Base entry","El modelo de objeto no esta especificado para guardar entradas de Google Base"
"Page views","Vistas de página"
"Please, select Attribute Set and Google Item Type to load attributes","Seleccione atríbuto colocado y tipo de artículo Google para cargar atributos"
"Product Name","Nombre del producto"
"Publish","Publicar"
"Published","Publicado"
"Remove","Borrar"
"Save Mapping","Guardar mapeo"
"Synchronize","Sincronizar"
"Target Country","País objetivo"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta acción actualizará estadísticas de artículos y eliminará artículos que no estén disponibles en Google Base. ¿Continuar?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Total de %d artículo(s) ha(n) sido eliminado exitosamente, Total de %d artículo(s) ha(n) sido actualizados exitosamente"
"Total of %d items(s) were successfully published","Total de %d artículo(s) ha(n) sido públicados exitosamente"
"Total of %d items(s) were successfully removed from Google Base","Total de %d artículo(s) ha(n) sido borrados de Google Base"
"Total of %d items(s) were successfully saved as Inactive items","Total de %d artículo(s) ha(n) sido guardados como artículos inactivos"
"Total of %d product(s) were successfully added to Google Base","Total de %d artículo(s) ha(n) sido añadidos a Google Base"
"US Dollar","US Dollar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Imposible de conectarse a Google Base. Revisar la configuración de la cuenta en configuración."
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Update Google Base item when product is updated","Actualizar artículo Google Base cuando el producto sea actualizado"
"View Available Products","Ver Productos Disponibles"
"View Item in Google Base","Ver artículo en Google Base"
"Yes","Sí"
